Text,Date,search_term
When I see a group hanging out during Covid-19 ,04/01/2020,covid-19
u should not use ibuprofen if u already are in risk of some type of respiratory illness. But if u are a healthy individual with no risks of respiratory illness then the correlation between Covid-19 and ibuprofen is not concrete enough for it to be implemented.,04/01/2020,covid-19
"Medical professionals in Southeast Missouri area taking to social media, begging the governor to declare a stay at home order. SEMO sees what’s coming.... #COVID19 ",04/01/2020,covid-19
True. But the MILITARY is no longer being protected. The WH is no longer allowing the military to report Covid-19 stats. Right now THOSE heroes are on their own. Absolutely unconscionable! ,04/01/2020,covid-19
Been doing alot of research on covid-19 and the measurable effects of social distancing cause.... something ain't right,04/01/2020,covid-19
"Oh, how I really want to comment on this. But out or respect for all those affected by this COVID-19 tsunami I'm keeping my mouth shut. ",04/01/2020,covid-19
"Hello Twitter, I have a rant. I work at Pizza Hut, so throughout this whole covid-19 epidemic I’m considered essential because I work somewhere that offers food delivery. With that being said in the times we’re e in right now, with everyone having to stay home, obviously a lot",04/01/2020,covid-19
"How to stay healthy when bringing home groceries. https://youtu.be/MoQBV5U1AjA . Even when COVID-19 is no longer a pandemic, rules on washing hands and being careful with your groceries will continue to be relevant --- FOREVER.",04/01/2020,covid-19
North Texas doctor turns 2 @SinaiCare urgent clinics into drive-thru COVID-19 testing centers @FOX4,04/01/2020,covid-19
You are so right @mpetkash I’m feeling battle fatigue already. Catching a second wind would be great. Stay strong brother. #covid19 #tellerstrong,04/01/2020,covid-19
"Yo Uncle @SnoopDogg, can I get one of your blue masks? Definitely want one of yours. #COVID19",04/01/2020,covid-19
"$GunnarTignor I’m a college student and I won’t be able to work for another month because of COVID-19, maybe until the summer.",04/01/2020,covid-19
"@tedfordyce Duncan's at Presby. He wants to us go to lunch. Where? He's suggesting there. Someone's messed over Syrus. I can give you 3 guesses. When? BTW, your email on linked in doesn't work. ""Could a 100-year-old vaccine help fight Covid-19?"" ",04/01/2020,covid-19
"If you haven't yet, go read this incredible profile of a doctor in one of Colorado's COVID-19 hotspots. Gripping and ultimately very inspiring. (Thanks for talking with me about it, Nick.) ",04/01/2020,covid-19
"There’s a lot we can learn from the COVID-19 pandemic, both domestically and globally. We were unprepared, hesitant to act, and did not collaborate with other countries to our greatest extent. The latter is a point I’d like to highlight.",04/01/2020,covid-19
Hi I have #Covid_19,04/01/2020,covid-19
I have an amazing husband I have an amazing new job I have amazing guns and ammo I have amazing doggos I have kittens that are learning to be amazing I own a house I conquered COVID-19 I’m no longer constantly sick and having surgeries My life is good right now ,04/01/2020,covid-19
"Everyone in Bloomington, Illinois including statues are taking precautionary measures against global COVID-19 virus. Photos for @WGLTNews – at Downtown Bloomington, Bloomington, Il",04/01/2020,covid-19
Friend virtual happy hour. The only way to survive #COVID19. ,04/01/2020,covid-19
Everything in this universe is either Sir Robert Bryson Hall II or not as good as Sir Robert Bryson Hall II. We dont deserve Bobby! Ive been to his last two tours and plan to go to every other one (CoVID19 willing hehe) ,04/01/2020,covid-19
I think I might think I might have Covid-19 forever.,04/01/2020,covid-19
Bridge Over Troubled Water - Aretha Franklin | #goldengatebridge #sanfrancisco #covid19 #saferathome #vitualgetaway #flattenthecurve @Golden Gate Bridge https://www.instagram.com/p/B-dQjtpF3El/?igshid=1el7o2d45kqt8,04/01/2020,covid-19
Take a deep breath and watch 30 seconds of waves crashing on the Puget Sound. #covid19 ,04/01/2020,covid-19
#FilmYourHospital #COVID19 #NotAHoax,04/01/2020,covid-19
Where did this connection between COVID-19 &amp; 5G network come into play ? How the hell radio waves cause a virus ?,04/01/2020,covid-19
Our district in South Queens is one of the hardest hit areas for COVID-19. Our team is here to help neighbors 24/7 however we can. ,04/01/2020,covid-19
More Americans have died from Covid-19 than the Iraq war.,04/01/2020,covid-19
Your reasoning for doing that is agenda driven and we know what it is. You are not concerned for the Iranian citizens. We offered help for the Iranians concerning COVID 19 and they refused it. So sit down and shutup ,04/01/2020,covid-19
"@MBarbosaMX solamente se burla de los poblanos, diciendo tanta sarta de incoherencias como le es posible, de ejemplo está cuando dijo que son inmunes al Covid-19 y hasta le puso fin a esta pandemia con mole, no, no cabe duda de que #PueblaCaeConBarbosa",04/01/2020,covid-19
"A week later, #Covid_19 has killed Fountains of Wayne co-founder Adam Schlesinger. Their upbeat, melodic pop rock brought many of us a lot of joy over the years. Going to listen to them again on tonight’s walk and try not to be sad. Doubt I’ll succeed. https://www.nytimes.com/2020/04/01/arts/music/adam-schlesinger-dead-coronavirus.amp.html#click=https://t.co/OoAhqLWhjA",04/01/2020,covid-19
This is what it’s come to.... pretending to drive in a drive thru and a zoom call w 4 people in the same house. What memory did you make today? #covid19 #castillosmakingmemories @WeHo https://www.instagram.com/p/B-dQeYSlKEh/?igshid=1q0gwh3kmsd3r,04/01/2020,covid-19
#FilmYourHospital #COVID19 #NotAHoax,04/01/2020,covid-19
"Yesterday I walked into my Nana’s house. For the first time in my 30 years, she did not greet me—no screaming my name, no hug or kiss Today was her funeral, we had to limit attendance due to COVID19. But she was beloved I miss the hell out of this badass woman. Love you, Nana ",04/01/2020,covid-19
"LA CARA DEL AMOR EN TIEMPOS DE COVID, me encanto esta version! Repost mxrquinho with make_repost ・・・ CARTA EN TIEMPOS DE #COVID19 my g @andreewofficial me propuso este mega challenge de la @pitizion es… https://www.instagram.com/p/B-dQGECAK3a/?igshid=6t35lf5lkzjg",04/01/2020,covid-19
#Resources for people and #pets affected by COVID-19 ,04/01/2020,covid-19
"I did! Thanks. Tho I am not able to view my Determination of Benefits notification. So I sent them everything I could possibly think of, my drivers license, COVID19 separation paperwork, pay stubs from my Ohio &amp; Illinois jobs as well as HR &amp; Payroll contacts from both employers",04/01/2020,covid-19
Anyone else get this in the mail today? Sign of the times. #COVID19 #StayHome,04/01/2020,covid-19
"Only Fans , Pussy lips on live , COVID-19, self quarantine feels like it’s been 100 days... I’m done with ya 2020 I’m going back to 2004 ",04/01/2020,covid-19
The Infodemic: Are Smoking and Some Blood Types Risk Factors for #COVID19? ,04/01/2020,covid-19
"When The world had no #socialdistancing Go Away #corona, Go Away!!;) #memories #quarantine #socialdistancing #covid #keepposting #covid19 #coronavirus #nyc #usa @Puerto Aventuras https://www.instagram.com/p/B-dQaorDqzp/?igshid=1wg956unuzm8m",04/01/2020,covid-19
Covid-19 moma gueuneu li @Absa_Salih df ,04/01/2020,covid-19
#STL just released a breakdown of #COVID19 cases by zip code. ,04/01/2020,covid-19
"SOMETHING GOOD Thank you, @swish41 for always leading the way in the community. Dirk Donates $135,000 to Local Charities Amid COVID-19 Outbreak ",04/01/2020,covid-19
I know these #Jeopardy episodes were probably filmed before all the Covid-19 restrictions but I still feel the contestants are too close to Alex ,04/01/2020,covid-19
Check out the latest @C2RO__ blog post to see why having access to #accurateBusinessData is crucial for making right deciosns during and after #economiccrisis like #COVID19 ,04/01/2020,covid-19
