Text,Date,search_term
When I see a group hanging out during Covid-19 ,04/01/2020,covid
u should not use ibuprofen if u already are in risk of some type of respiratory illness. But if u are a healthy individual with no risks of respiratory illness then the correlation between Covid-19 and ibuprofen is not concrete enough for it to be implemented.,04/01/2020,covid
True. But the MILITARY is no longer being protected. The WH is no longer allowing the military to report Covid-19 stats. Right now THOSE heroes are on their own. Absolutely unconscionable! ,04/01/2020,covid
Been doing alot of research on covid-19 and the measurable effects of social distancing cause.... something ain't right,04/01/2020,covid
"Oh, how I really want to comment on this. But out or respect for all those affected by this COVID-19 tsunami I'm keeping my mouth shut. ",04/01/2020,covid
"Hello Twitter, I have a rant. I work at Pizza Hut, so throughout this whole covid-19 epidemic I’m considered essential because I work somewhere that offers food delivery. With that being said in the times we’re e in right now, with everyone having to stay home, obviously a lot",04/01/2020,covid
Dear @JackDaniels_US. I loved you before this covid pandemic. I love you through this covid pandemic. I'll love you after this covid pandemic. #foreverandalways #JackedUp,04/01/2020,covid
"How to stay healthy when bringing home groceries. https://youtu.be/MoQBV5U1AjA . Even when COVID-19 is no longer a pandemic, rules on washing hands and being careful with your groceries will continue to be relevant --- FOREVER.",04/01/2020,covid
North Texas doctor turns 2 @SinaiCare urgent clinics into drive-thru COVID-19 testing centers @FOX4,04/01/2020,covid
"$GunnarTignor I’m a college student and I won’t be able to work for another month because of COVID-19, maybe until the summer.",04/01/2020,covid
"@tedfordyce Duncan's at Presby. He wants to us go to lunch. Where? He's suggesting there. Someone's messed over Syrus. I can give you 3 guesses. When? BTW, your email on linked in doesn't work. ""Could a 100-year-old vaccine help fight Covid-19?"" ",04/01/2020,covid
"If you haven't yet, go read this incredible profile of a doctor in one of Colorado's COVID-19 hotspots. Gripping and ultimately very inspiring. (Thanks for talking with me about it, Nick.) ",04/01/2020,covid
"There’s a lot we can learn from the COVID-19 pandemic, both domestically and globally. We were unprepared, hesitant to act, and did not collaborate with other countries to our greatest extent. The latter is a point I’d like to highlight.",04/01/2020,covid
Hi I have #Covid_19,04/01/2020,covid
