Text,Date,search_term
 bcnlegendz it's the next level.. #bcnlegends #urbangraffitisbcn #artdengroundmoviment #blegends #ACABose #coronavirus #covid_19 #cuarentena #desescalada #fase1 en United States https://www.instagram.com/p/CA6WZRSCCtW/?igshid=1pmufiegw7zrq,06/01/2020,covid
"Is COVID over, or are we like at half time? ",06/01/2020,covid
bcnlegendz it's the next level. #bcnlegends #urbangraffitisbcn #artdengroundmoviment #blegends #ACABose #coronavirus #covid_19 #cuarentena #desescalada #fase1 en United States https://www.instagram.com/p/CA6WNMMCz5e/?igshid=1f473siiiipaj,06/01/2020,covid
"Covid marketing commercials are now out dated, rioting commercials are the future. #protest",06/01/2020,covid
"I know it is scary now. I know you've been locked up in your home's most of the time. If you are like me, you've been trying to figure out what the actual symptoms of Covid-19 are!!!?!! Our politicians are literally… https://www.instagram.com/p/CA6Vsj7FJPl/?igshid=190ykwi88ujmj",06/01/2020,covid
@GovofCO @jaredpolis Colorado’s numbers of #covid tests per capita are amongst the very lowest in the nation. Why?,06/01/2020,covid
"Bernie bros. Between ending paid work on Bernie’s campaign and down time during Covid, they had a lot of time to coordinate and plan. @KSTP @WCCO @FOX9 @kare11",06/01/2020,covid
I tried to call one of my Senators and both offices were closed because of CoVid. They told me to send a fax. ,06/01/2020,covid
"Really thought the next move would be ""look you gotta stop this because of the spike in COVID cases"" but now that they've closed testing sites i guess that's not the play",06/01/2020,covid
@MattVanderveer really Matt keep broadcasting the black riot thing and the covid thing over and over that is NOT Good journalism it’s crap Matt,06/01/2020,covid
"What NEXT, riots, covid 19 pandemic emergency. We need to call out the military... ",06/01/2020,covid
https://www.google.com/amp/s/www.nytimes.com/2020/05/19/opinion/coronavirus-first-amendment-protests.amp.html Actually no. You need a permit to protest on the street not in public spaces that don’t block roadways. As you can clearly see they weren’t blocking roads. Also crazy how the narrative changes when it’s white people protesting COVID restrictions!!,06/01/2020,covid
"I wanna protest again but my dad’s visiting on the 11th and he doesn’t feel comfortable visiting if I’ve been in crowds potentially exposing myself to COVID :( so I’ll keep voicing my opinions/spreading awareness, donating, and signing petitions ",06/01/2020,covid
Racism has killed more people than Covid-19. #BlackLivesMatter,06/01/2020,covid
