Text,Date,search_term
It’s disappointing that our Board of Regents would decide to open TXST as cases of COVID-19 begin rise. https://twitter.com/UniversityStar/status/1256347401310187520,05/01/2020,covid
"It’s School Lunch Hero Day! We just want to give a Dragon shout out to all employees who serve meals to students, but especially those who have been providing food for kids during the COVID-19 closures! Our Dragon families have been so very appreciative!! #DragonStrong ",05/01/2020,covid
"Lucas on sacrifices being made by businesses: “If we take these steps now, then we can be stronger in the fall months” #Covid_19",05/01/2020,covid
This #Covid #COVID19 #CovidTest sounds promising.,05/01/2020,covid
Oh hell no! It wasn't my thing pre covid. We've been takeout mostly for many years.,05/01/2020,covid
City will be working with @Airbnb to find rooms for domestic violence victims #DomesticAbuse #Covid_19,05/01/2020,covid
More lies from the covid kid @realDonaldTrump and his tadpole @senatemajldr #MoscowMitch (who still trends under his #hashtag. ),05/01/2020,covid
"He said to himself, “how can I get more attention then Covid? Maybe I will say something absolutely bonkers!“",05/01/2020,covid
"Unified Command confirms two new cases for COVID-19 in Scotts Bluff County, a female in her 50s and a male in his teens. The investigation is underway. Close contacts will be quarantined and actively monitored twice daily for fever and respiratory symptoms.",05/01/2020,covid
COVID negative? ,05/01/2020,covid
y’all really blowing this off by assuming all these new cases are asymptomatic where did this info come from ? an increase in 1000 cases means 1000 people got COVID-19 and 1000 people could’ve spread it to others,05/01/2020,covid
"@POTUS You are urging states to compromise by easing up on some COVID restrictions. I want the US back to normal as soon as it can, but without risk to anyone’s health. If you are so sure it’s safe, you go, without a mask, and shake some hands in those states! I bet you won’t!",05/01/2020,covid
"Due to COVID-19, we’re releasing sex offenders... for what? So they can go sexually assault a different innocent girl? 5 out of 7 men in California have done just that. Wake up America.",05/01/2020,covid
@AcornTV ... we really want a season 7 of #brokenwoodmysteries Give us something good to watch in Covid,05/01/2020,covid
"You think you have COVID-19 but you’re not over 65 or in some other priority category and no site will test you. Come Monday, same-day or next-day testing opens up for the rest of us. ",05/01/2020,covid
"Before COVID, we were going to be on @Amtrak Southwest Chief tonight, headed to Arizona to ride the Grand Canyon Railway... ",05/01/2020,covid
Wado to the @CherokeeNation Council for passing emergency measures to help Cherokee Nation continue to lead on COVID-19 response and recovery. #Gadugi,05/01/2020,covid
Within a sports team the worst I heard about when people started taking COVID-19 seriously was the Brooklyn Nets having 4 sick players at once. A worse locker room outbreak than that seems possible.,05/01/2020,covid
I hope you both get the covid,05/01/2020,covid
"Red flag petition approved after Rifle man allegedly threatened to kill himself, ex-wife, children https://www.thedenverchannel.com/news/local-news/red-flag-petition-approved-after-rifle-man-allegedly-threatened-to-kill-himself-ex-wife-children Saving lives during #COVID any way we can! #copolitics",05/01/2020,covid
"@DiamondandSilk I’m self emp. In ny no $since feb 1st hope stimulus check myself my daughter &amp; wife 3,600 they say 2 weeks none of us got $yet I apply for sba Covid loan no word no grant now foreigners up to a mil. Getting $1200 as well as the dead yes 1,200 us 3 nothing HELP",05/01/2020,covid
I supported WABA's policy recommendations for walking and biking during COVID-19! ,05/01/2020,covid
"01/05/20 Actualización Hasta el corte más actual, BC registra 1,646 casos positivos ante Covid-19. Compartimos las cifras de confirmados, sospechosos, defunciones y recuperados por municipio. #QuédateEnCasa #EnBCNosCuidamosTodos #Coronavirus #COVID19 #CoronavirusBC #COVID19BC",05/01/2020,covid
"Al parecer la socialité es inmune al Covid, al cabo que? Ell@s tienen dinero para pagar si las internan.",05/01/2020,covid
Se recuperan 526 tabasqueños de COVID-19 @SSalud_Tab @Gobierno_Tab,05/01/2020,covid
"Lo logró! Nava lo hizo realidad! Mitad de tráfico! Ah no se crean, es por el covid, no sean ilusos. ",05/01/2020,covid
The DOJ needs to take a look at Pelosi and her Committee who are looking into the Covid-19 virus. They are wrongly try to harm the President,05/01/2020,covid
"For the third time this week, only five people tested positive for the COVID-19 strain of coronavirus, Hidalgo County Judge Richard F. Cortez said Friday. The additional five brings the total number of positive cases in Hidalgo County to 339. ",05/01/2020,covid
Jajaja estás como el Chiringuito promocionando una . Cuando se acabe lo del covid me la cuentas con una . Mis panas de Ponce siempre me invitaban para el Pachín cuando los jugabamos allá pero eso ahí es tierra de nadie. ,05/01/2020,covid
"The OC beaches had over 40k ppl showing up w/o any regards to safe #SocialDistancing practice. When you don't follow the rules, your toys get taken away. These #whiteprivilege city councils should from SD where ours are still open. #COVIDIOT #COVID ",05/01/2020,covid
i want nothing more than to hike up a hill and watch the sunset is that too much to ask fuck covid man,05/01/2020,covid
Coronavirus: US FDA approves emergency use of antiviral drug remdesivir to treat COVID-19 patients #Coronavirus,05/01/2020,covid
Covid crop circles #StayAtHomeKC – at 12th Street Viaduct,05/01/2020,covid
"En @poplabmx, @Potiks1 presenta un análisis de los dilemas bioéticos, tema imprescindible de pensar y discutir en estos días de pandemia. @SPBioetica_UNAM @monavite “El dilema ético del triage ante los pacientes graves enfermos de #COVID__19 en Mexico” https://poplab.mx/column/Pasabaporaqui/EldilemaeticodeltriageantelospacientesgravesenfermosdeCOVID19enMexico#gallery-2",05/01/2020,covid
"“The whole #CommunitySchools system is designed to deal with this type of crisis,” says @Munoz4Youth referring to COVID-19 and its impact. They create an infrastructure that relies on relationships to respond to a crisis more nimbly:",05/01/2020,covid
Telehealth is not new but in Covid times it is new to many providers and clients. My colleagues and I comment on some privacy issues providers and our clients may be concerned about when working in this space. Check it out! ,05/01/2020,covid
"Have them all tested immediately. I bet if they test positive with covid, their minds will change.",05/01/2020,covid
Ok everyone ! Let's see how well you did on your haircut ! #COVIDHAIR #CovidCut #COVID__19 #Covid_19,05/01/2020,covid
Big brains at work here #COVID__19,05/01/2020,covid
I stand with and support @GavinNewsom and his #SocialDistancing and #ShelterInPlace plans in CA. His leadership has saved lives. #Covid_19 #TrumpVirus #CoronavirusPandemic,05/01/2020,covid
"The Ministry of Health announced an additional COVID-19 case. The latest patient, who is hospitalized, is a 25-year-old woman living on New Providence. ",05/01/2020,covid
Thank you @LukeAFB for honoring ALL of those working on the frontlines of COVID-19 including our great states First Responders who continue to serve and protect our communities during these unprecedented times! We salute you! ,05/01/2020,covid
Thanks covid #Boston ,05/01/2020,covid
COVID-19 Relief Special!!! 10% off up to $150. Runs5/4 to 5/15. Must mention this ad to receive discount. Tell your friends! 208-440-9292. #boiseautorepair #meridianidaho #autorepair #eagleidaho #boiseidaho… https://www.instagram.com/p/B_qckf2ndEq/?igshid=1paco0c6gc63,05/01/2020,covid
"Tantas pinches conferencias sobre el covid-19 no sirve, si la gente sigue saliendo a la calle.",05/01/2020,covid
now i just have to deal with being anxious about maybe having come into contact with covid for 2 weeks LMFAO,05/01/2020,covid
We had tickets to see Yes on March 24th. Thanks Covid. ,05/01/2020,covid
I honestly cannot wait to support your music and all your Canadian shows in 2021 @kaskade cause not all DJs are doing even close to what ur doing! I used to do anything I could to support @tiesto and then a month into covid he lets his team tell us Tijs doesn’t have any equipment,05/01/2020,covid
"Monterey, CA , having 'flattened the curve', now losing to County Health Czar Benito Moreno in his goal to flatten commerce, recreation, tourism and common sense. ( 0.0004 COVID-19 = SHUT Down to May 31 !!)",05/01/2020,covid
"Today is May Day 2020 and we are ALL essential workers! We want to give a May Day worker spotlight to Music Changing Lives and Neighborhood Survants, thank you for all your hard work and keeping this country going during this COVID-19 emergency. #MayDay2020 #IECounts",05/01/2020,covid
"IMPORTANT - The news that I’ve tested +ve for #Covid_19 is untrue. However, very credible sources tell me the Pakistan ISI has me on a ’kill list’ of 84 Pakistan-born exiles. They’d strangle me to death and later suggest I died of suffocation because of my #Covid19 affliction.",05/01/2020,covid
Compañeras y compañeros. En tiempos de la #COVID__19 ha quedado más que claro que la clase obrera trabajadora es la que genera y garantiza que la riqueza del país se mueva y funcione. ¡Viva el primero de #Mayo! ¡Viva la lucha popular! @ProceresDe @uprez,05/01/2020,covid
"#Querétaro | Pacientes de COVID-19 podrán comunicarse con familiares a través de videollamadas • Esto se realizará con equipo del hospital, pues no se permitirá el ingreso con celulares https://bit.ly/2yZvl0X",05/01/2020,covid
Even on non COVID floors @1_pipster,05/01/2020,covid
@BBC @guardian @nytimes @maddow @MalcolmNance @sdut @ajc @staceyabrams @AOC Killing elderly in nursing homes is real intent following Stephen’s Miller’s white supremacist agenda. Now killing elderly Afro-Americans &amp; Hispanics as wealthy sit out COVID-19. https://wapo.st/2zQ44P5,05/01/2020,covid
Santa Barbara has idiots too. #Karen #50k #MAGA #Covid_19,05/01/2020,covid
Do they know that The U.S has the leading number of covid deaths? ,05/01/2020,covid
COVID-19 IS NO LONGER TO BE SHUTDOWN BEFORE IT EXPLODE INTO QUADRILLION PIECES.,05/01/2020,covid
Yum . .MOTHER NATURE WE ARE SORRY. ..#mothernature #covid_19 #writer #ideasuppression #1984 #globaltakeover #arefreshingtakeonmodernmedia #media #comedian #philosophy #political #book #beautiful #quarantine #art… https://www.instagram.com/p/B_qcQI-AX-b/?igshid=10xkiomntqtpq,05/01/2020,covid
I heard the 4th CoVID death on the island happened this week. Shutting down the island to mainland tourist was hard but necessary,05/01/2020,covid
"As the state of Florida faces challenging times brought on by the Covid-19 pandemic, now more than ever should residents lend a helping hand to their friends &amp; neighbors. Click here to read more: https://bit.ly/3fcBacb #CNWNews #Florida #COVID19 #Miramar #HelpingEachOther",05/01/2020,covid
"RIGHT NOW — We are discussing how Colorado educators are preparing for a new academic year in the fall as the U.S. will likely still be adapting to #COVID. Steve’s guest are —&gt; CU Regent John Carson &amp; Dr. Chris Fiedler, School Superintendent for 27J. http://www.Facebook.com/House4co",05/01/2020,covid
I'm getting paid to play cod mobile on my phone thanks covid 19,05/01/2020,covid
Gave some VM brand loving to this COVID signing.... laminated and tape!! @megansmac @T1912Bernadette,05/01/2020,covid
Sketchy recommendations for dealing with #COVID__19 bringing in more bleach ingestions? @emresidents is here for you!! Check out this episode of EMRACAST and ACMT Tox Guide with Dr. Ken Katz,05/01/2020,covid
including “refrained from bleaching hair blonde during Covid-19 pandemic” on my CV,05/01/2020,covid
"No testing plan. No intention to provide adequate testing, tracking and PPE. Encouraging Republican governors not to record and report all COVID-19 deaths. His responsibility, due to the 70 day delay, for 1000s of unnecessary deaths from COVID-19. Feds stealing PPE from states. ",05/01/2020,covid
I got the Abbott test as my hospital is a COVID plasma collection center and part of that protocol. All of our medical staff are able to be tested.,05/01/2020,covid
Playing devils advocate here… A vaccine for COVID-19 won’t pop up for another year or so… Are we supposed to stay at home until then?,05/01/2020,covid
.@courtgossage sorry that your wedding day to @mkobach has been impacted by COVID 19. Take it from a 20-year veteran of marriage that building a life with someone and ultimately a family is not about one day. Your special day will come... Make this weekend special regardless... ,05/01/2020,covid
"#Chuck @TheDemocrats should be laser focused on a united front with @realDonaldTrump to combat the COVID-19 virus, rather than setting up a new #impeachment committee to see what @POTUS and the #coronavirus team have done right! Be a team player #Chuck!",05/01/2020,covid
Exactly. Dems will use every covid trick in the book to try to socialize us ,05/01/2020,covid
COVID-19 you got nothing on us!!! Are you ready to be defeated??!??? ,05/01/2020,covid
"Si tuviera mucho dinero donaría mucho a lo del covid, claro que si puedo conocer a Chris Pratt y ser la comida de un dinosaurio en Jurassic World, estaría increible.",05/01/2020,covid
@KOLDNews @DanMarriesKOLD @BrookeWagnerTV When will u start reporting the increase in suicides due to COVID-19? U have no problem instilling fear in people. May2 you’re partially responsible for the increase. Get @budfoster 2 interview mental health experts vs his liberal garbage,05/01/2020,covid
Curioso que la gente no crea en un virus que no ve pero sí en un dios que tampoco ve. #Covid_19,05/01/2020,covid
Negative for Covid ,05/01/2020,covid
"@Airbnb @AirbnbHelp Know that it’s isn’t a secret that your customer-based response to COVID has been terrible, but making customers wait 7+ hours to get ahold of a rep shouldn’t even be considered “customer service”. How can I get help? ",05/01/2020,covid
"How are all of you out there?? Bandcamp is doing a solid today, waiving all their fees & giving 100% of sales to artists affected by covid-19. Head on over if ya can. ",05/01/2020,covid
#AskUSATODAYGrace What is the treatment for someone who have been tested positive for Covid-19 but do not have any symptoms and have not shown any symptoms or feeling sickness for over a week ?,05/01/2020,covid
"#clapbecausewecare #clapbecausewecarenyc #healthcareworkers #essentialworkers #newyork #newyorkcity #coronavirus #covid19 #covid_19 @New York, New York https://www.instagram.com/p/B_qbtcfHxdg/?igshid=pic3617i5pd2",05/01/2020,covid
"ANNOUNCEMENT- VIBS is participating in #GivingTuesdayNow, a new global day of giving and unity that will take place on May 5, 2020 as an emergency response to the unprecedented need caused by COVID-19. Abuse is increasing &amp; we need you! SO LET’S GET THE COUNTDOWN STARTED! ",05/01/2020,covid
Ya but have u herd of COVID??!,05/01/2020,covid
Get your disgusting ass industry ugh LIL WAYNE TATTOOS COVID 19,05/01/2020,covid
More cancelation due covid 19 ,05/01/2020,covid
"@Fritolay saw your commercial the other night! We do make choices with our money! Love what you are doing, keep giving we will keep buying! Beef Brisket Nachos ! #NomNomNom #FritoLay #COVID__19 #CorpFriend #KeepItUp #NoLeftovers",05/01/2020,covid
Se dicen influyentes q están bien parados en la alcaldía y con la policía de la zona otro negocio q no parece escencial del covid-19 y aparte tienen niños trabajando en el local esto en ote148 esq eje 1 nte. Col moctezuma 2 secc. @A_VCarranza @julioc_moreno,05/01/2020,covid
"""While the Trump Administration continues its whole-of-government response to COVID-19...it is counter-productive to have the very individuals involved in those efforts appearing at Congressional hearings."" https://www.nbcnews.com/politics/congress/white-house-blocking-fauci-testifying-congress-about-coronavirus-response-n1198276",05/01/2020,covid
How lightly and quickly you dismiss: - Obama & Biden exhausting and failing to replenish PPE emerg supply! - Pelosi street part Chinatown. -NY Gov & NYC Mayor saying nothing wrong & forcing nursing hms to accept Covid-19 patients. - WHO f-up!,05/01/2020,covid
"Better yet, take off your shirt, wrap it around your face and I bet you would get service. Nobody really cares if they see your COVID 19 belly but I guarantee they care if you're coughing and slobbering without a face covering. Figure it out.",05/01/2020,covid
We Miss you Coach Follins #MHS Covid drive by @FriscoMemo_FB @FMHSRecruits @GarrenHuey @WyattHuey2 @rj_demadet,05/01/2020,covid
Muy pronto ? Suficiente evidencia ? La urgencia lo justifica ? #COVID__19 #DiaDelTrabajador @doctormosqueda @doctormacias,05/01/2020,covid
