Text,Date,search_term
How are you improving in lockdown? I look like I woke up on the wrong side of the underpass.,04/01/2020,lockdown
"I appreciate that, but I'm not looking for sympathy. I just want people to realize that this lockdown is not an answer. It's a temporary fix to slow it down. We need a solution. Thank you for your concern. ",04/01/2020,lockdown
"#10monthspostpartum Wow, what a crazy month! Besides the #coronavirus lockdown, hubby tore his pec bench pressing (has to wear a sling for 8 weeks), AND we’re moving in the middle of all this and leasing out our… https://www.instagram.com/p/B-dQZmPJnm5/?igshid=1idaidy1b1ln8",04/01/2020,lockdown
"If my 18yo daughter is any indication, the bra industry is gonna go broke during this lockdown.",04/01/2020,lockdown
"Lockdown is the only easy to greatly reduce the spread of the virus, as there are still that small % that will ignore, risking the lives of family, friends and strangers. Use common sense people. The virus doesn't favor anyone and will assualt everyone in its path.",04/01/2020,lockdown
I went a couple time right before all the lockdown shit happened,04/01/2020,lockdown
I had to cancel my braid appointment because Louisiana on lockdown! ,04/01/2020,lockdown
He and Trump will be on perpetual lockdown at Mar-a-Covid,04/01/2020,lockdown
I REALLY hope my first show back is @Excision in Dallas... since we went into lockdown on the same mf day he was supposed to be playing ,04/01/2020,lockdown
Business planning is the perfect lockdown activity ,04/01/2020,lockdown
Me during the lockdown rewatching my favorite films ,04/01/2020,lockdown
"Okay, let's have fun Dallas is in lockdown after all. I don't need sleep, I'd rather spend time with y'all but just so you know, I'm only relying on my data, I still don't have WiFi at my new place :(",04/01/2020,lockdown
My son lives in Williston. N.D. They're on lockdown. Pretty much like Oklahoma.,04/01/2020,lockdown
@KalebHarden2 overcoming injury &amp; overcoming lockdown in preparation for next season #vchornetsovercome,04/01/2020,lockdown
Can't get through a lockdown without twigs and dead flowers. Those can only be found in a store!,04/01/2020,lockdown
I know we’re supposed to be on lockdown but I need something to DO y’all I need like a lego set or a model airplane or something,04/01/2020,lockdown
"Just a reminder. There may not be another stream this week, definitely not tonight. I’m on double lockdown with MW2 and RE3. I wouldn’t have been able to leave my house pre-apocalypse Good news is I have an extra MW2 copy someone will get at some point.",04/01/2020,lockdown
Brooklyn man yells 'go home!' to people outside during lockdown https://mol.im/a/8176181#v-2451106623569967221 @MailOnline,04/01/2020,lockdown
My city is going on lockdown tonight. This shit is starting to get scary. ,04/01/2020,lockdown
I think I’ve cried enough during this lockdown Bryan.,04/01/2020,lockdown
They get you pregnant they ass know for sure you in the house anit not off lockdown for you He is doing him all summa,04/01/2020,lockdown
"Welp, Mississippi is officially on lockdown starting this Friday at 5pm . Unfortunately this is what it’s gong to take to stop the spread of #COVID19 &amp; help prevent many more unnecessary deaths due to carelessness. #coronavirus #COVIDー19 #CoronavirusUSA #Mississippi",04/01/2020,lockdown
Last live performance before the lockdown! What a great night with friends old and new. Starting with my Man Les July les_july whom I’ve known for over 20 years followed by a close second with Katja Rieckermann… https://www.instagram.com/p/B-c7zC4BQdJ/?igshid=18oylxml61q9k,04/01/2020,lockdown
"Is this when I look out at the rainy landscape and realize that something far greater is happening? A mass conspiracy? Will I develop superpowers? Or is this just lockdown delirium? Okay, it’s probably the boring… https://www.instagram.com/p/B-c7rW5AdHj/?igshid=30j8g068m3ct",04/01/2020,lockdown
Audacious goats move in on empty town in coronavirus lockdown ,04/01/2020,lockdown
 #lockdown in Florida starts tomorrow night. It’s about to get real.,04/01/2020,lockdown
"According to Governor Tate Reeves Facebook live , Mississippi will go on lockdown Friday at 5pm.",04/01/2020,lockdown
Being on lockdown or what,04/01/2020,lockdown
#LiveStreamMusic Dalta Lockdown http://www.StreetJelly.com/Dalta #JamBand,04/01/2020,lockdown
"It is because they are a dictatorship that they were able to come down hard with the lockdown, thus majorly decreasing their cases. I remember seeing a news video of soldiers nailing people’s doors shut to enforce the lockdown. 1/2 ",04/01/2020,lockdown
"100% correct. They are communists. Atheists. Is a dictatorship. No freedom. But this is not the time to deal with them. Stop deflecting. Focus on what needs to be done. 1. We don't have the supplies to fight the virus. 2. We required national lockdown, now.",04/01/2020,lockdown
It’s April fools and the governor just announced an extension of the 30 day lockdown.. I don’t trust it my inside manz said we should be good by tomorrow at 5,04/01/2020,lockdown
Lockdown defense No one makes defense more fun to watch than DiDi! #SicEm,04/01/2020,lockdown
"Ain’t this just craziness- we are essentially on lockdown, can’t go anywhere and even if we do go out, there isn’t anywhere to go.... and gas is $1.39 in Columbia,SC. #lowgasprices #nowhere2go @CircleKStores",04/01/2020,lockdown
Pls I literally only 5 dollars to my name and we just started lockdown $JamalPass,04/01/2020,lockdown
"Day 17 of Self-Isolation/Stay at home Day 10 of StateWide Lockdown (I own the rights to this music) @St Bernard, LA https://www.instagram.com/p/B-c6-oOFCK2/?igshid=1f3vo0nwr3zjb",04/01/2020,lockdown
"If the bears win this shit it is garbage. Bears never had anyone to stop Calvin, Herman Moore, Charlie Sanders and Gail codgill. Butkus, singletary and urlacher would still struggle with Sanders and Sims. Lions secondary is lockdown.",04/01/2020,lockdown
Mississippi is Officially on lockdown as of 5pm Fri Apr 3rd. Lock it DOWN Mississippians ! #FrontLine #COVID_19 – at University of Mississippi Medical Center,04/01/2020,lockdown
Wrong. Please focus on what really needs to be done. 1. Produce all supplies needed to combat the virus. Today. 2. National lockdown Today. Medical personnel still missing supplies. The people are missing supplies. No alcohol. No hand sanitizer. No masks.,04/01/2020,lockdown
Read this interview and watch this video to take you away from lockdown into the life story &amp; music of one of my favorite creative people who I regret not being able to see at @BigEarsFestival with @NewMusicUSA last week ,04/01/2020,lockdown
"People wanting Khabib stripped of the belt for being under mandatory Russian lockdown are clowns/Conor fan boys. Conor had his shot, got demolished. Only Tony deserves the title shot.",04/01/2020,lockdown
