Text,Date,search_term
Ya boy grew some crazy ass curls during lockdown ,06/01/2020,lockdown
We about to be on lockdown for a year with this next outbreak,06/01/2020,lockdown
Please do your job and get this under control. We are sick of your patethic attempts to lockdown the city and let the rioters go loose. #RecallTimWalz,06/01/2020,lockdown
"Lol Biden has no idea where he was or what was going on way back in January! However, we do!! And it wasn't about any lockdown due to virus! He was calling our President a Xenophobe for banning flights from China. Today he is simply saying what he's told to say.",06/01/2020,lockdown
People would support this if their businesses weren’t already bankrupt or considerably hurting already from this stupid lockdown.,06/01/2020,lockdown
"Meet 2022 @Annabel51441247, who hails from Riverside, Mo. where she attends Park Hill South HS. Lockdown corner IF who makes all the plays, is one of our team leaders in RS, and checks in at .357 at the plate. #tgf",06/01/2020,lockdown
"So are we going to protest the curfew like we did for the COVID lockdown, or is this not oppression anymore? Asking for a friend.",06/01/2020,lockdown
yay we’re on fucking lockdown tonight so I can’t go to work and make money :-) awesome,06/01/2020,lockdown
The whole state in Nigeria is affected despite the early lockdown,06/01/2020,lockdown
"My special order, LOCKDOWN, Edited by @nkolakowski and @steveweddle came in from @PolisBooks on the very day @MagicCityBooks reopened their doors. And I found another one that popped up on my radar a while back.",06/01/2020,lockdown
My city is on lockdown due to rioting. 1 or 2 ppl died last night. Sick world.,06/01/2020,lockdown
"I'm in Davenport, Iowa. We had riots here, looting, and 1 or 2 dead. A cop was shot. We're on lockdown. Mall is boarded up, along with Walmart(s) and Dollar General stores. Its freaky. I dont get it. 1st COVID-19, now this nonsense.",06/01/2020,lockdown
we all just went through quarantine and now we’re about to be on lockdown again?? damn shit never ends it seems like,06/01/2020,lockdown
"""Comparing the police response to the George Floyd protests to the lockdown protests"" ",06/01/2020,lockdown
In Europe antifa took part in pro- lockdown demonstrations..,06/01/2020,lockdown
Congrats to the Harvey Family on winning Res. Champ Gilt at the Royal Grand Turf Classic! Driving Out of Lockdown Round 5 - MO Res. Champ Light Cross Gilt Shown by Anna Slagle Driving Out of Lockdown Round 5 - MO Champ Landrace Gilt Shown by Anna Slagle ,06/01/2020,lockdown
Like I said- there’s a risk of getting an infection and dying with protests. And people knew that I assume and they still did it coz it meant a lot for them. South Dakota never had a lockdown,06/01/2020,lockdown
The #looting and #riots are. A consequence of the lockdown.,06/01/2020,lockdown
The police state is getting drafted up as we speak. Wait til the nation wide lockdown. Like real lockdown t,06/01/2020,lockdown
"I’ll be happy when this lockdown is over so we can go to your place have a delicious dinner. You keep temping us with all your scrumptious looking meals. I think it’s worth the trip from Dallas,Tx. ",06/01/2020,lockdown
"The abuse of police power. “Cele is a powerful figure in South African politics but, through this lockdown, he has abrogated significant power to himself, usurping the de facto position of the national police commissioner,... police minister and that of IPID.” @ferialhaffajee",06/01/2020,lockdown
"I totally misunderstood your comment March all you want but don’t expect another lockdown if you get sick, you will be taking your life in your hands, and dyslexia sucks.",06/01/2020,lockdown
"Go to the beach & they arrest you Riot/Loot: “you need to be heard” Well after #HouseArrest then #Bailouts by the Trillions, is it really shocking they stage all this chaos in their obedient dem cities then use it to put you on double #Lockdown #DAY8️⃣0️⃣",06/01/2020,lockdown
"And people got angry at me for saying the COVID shaming was part of a mass hoax (the lockdown, not the virus). Funny how suddenly COVID no longer matters. Leftists are f**king hypocrites. ",06/01/2020,lockdown
Comparing the police response to the George Floyd protests to the lockdown protests ,06/01/2020,lockdown
Carter Lott. Carter is a truly cerebral player. Her dedication to understanding the game makes her a valuable asset on defense. She’s a quality lockdown defender and starts the clear effectively! – at Millbrook High School Stadium,06/01/2020,lockdown
"Even in my darkest, most hopeless moments, when I felt entirely alone, God has been with me. I’ve remembered -and been reminded many times- that I never walk alone. . . . . . #explorepage #love #corona #lockdown… https://www.instagram.com/p/CA5XeoUgasW/?igshid=1kds1xah96hzv",06/01/2020,lockdown
Happy new month from your friends at BÉBÉ STATION™ Inc! Last year this time we were live at the papevillage #Summerfest... COVID + lockdown has other plans for us. • • • We're currently pivoting our business and… https://www.instagram.com/p/CA5XUEzB37f/?igshid=19dmnuwceiqwk,06/01/2020,lockdown
"My question is if there is one, will we go back to at-home lockdown (red counties) to slow the spread again? But if there isn’t one will we immediately open back up because government will realize it was not necessary?",06/01/2020,lockdown
you are looking ways for implementing lockdown without declaring it! ,06/01/2020,lockdown
@LBPD Lockdown the city tonight. Use cement barriers to close streets and keep businesses free of looters. No Cars.,06/01/2020,lockdown
@LAPDHQ Lockdown the city tonight. Use cement barriers to close streets and keep businesses free of looters. No Cars.,06/01/2020,lockdown
@SantaMonicaPD Lockdown the city tonight. Use cement barriers to close streets and keep businesses free of looters. No Cars.,06/01/2020,lockdown
Los Angeles was dead weeks before lockdown ordered. Anecdotal but don’t see why it would be an outlier.,06/01/2020,lockdown
"June is here with last weeks of Spring under lockdown, before Summer heat kicks in. Heat is rising in our cities already. It's time of Gemini, polarised sign. If you are a Gemini or you know one, you know about the… https://www.instagram.com/p/CA5V6qBHn07/?igshid=1hifbdssdkdyr",06/01/2020,lockdown
"So someone has to shout racist remarks from the rooftops to commit racism? Just look how the police force have met these protests, compared to how they met the protests of white people with guns protesting wearing masks during lockdown, says all you need to know.",06/01/2020,lockdown
"Don't forget covid lockdown, didn't work",06/01/2020,lockdown
Shit people still on lockdown tell em all test subject 1027098665 said it's okay to go outside!https://youtu.be/BW7eqLS8j3csub_confirmation=1.,06/01/2020,lockdown
"June is here with last weeks of Spring under lockdown, before Summer heat kicks in. Heat is rising in our cities already. It's time of Gemini, polarised sign. If you are a Gemini or you know one, you know about the… https://www.instagram.com/p/CA5VsZknkKJ/?igshid=14eowropuuc0a",06/01/2020,lockdown
CMS Lockdown ,06/01/2020,lockdown
How did we get a lockdown during a lockdown ???,06/01/2020,lockdown
Lockdown has a way to get to a Trump!!,06/01/2020,lockdown
