Text,Date,search_term
Lockdown defender. ,03/01/2020,lockdown
That PND album is TBD ,03/01/2020,lockdown
This phrase alone kills the whole mood before the mood even starts,03/01/2020,lockdown
Listen call me transphobic all you want idgaf I’m only dating women are born women ,03/01/2020,lockdown
maybe we should just keep them in a lockdown of production so that our planet can live for a little longer and perhaps start making our own shit instead of exporting shit from China ,03/01/2020,lockdown
"Just got back from a great (and uneventful) trip to Italy. I course corrected my trip to avoid northern Italy after they went into lockdown because of the virus, thinking my @SevenCornersInc would help out. Lolz https://www.sevencorners.com/coronavirus",03/01/2020,lockdown
 ,03/01/2020,lockdown
That ain’t my snap it was sent to me ,03/01/2020,lockdown
The word is out That FEMA may lockdown Northern California Sunday at Midnight!!!,03/01/2020,lockdown
The word is out Now Northern California may go on lockdown Midnight Sunday 12 hrs By FEMA,03/01/2020,lockdown
 ,03/01/2020,lockdown
Headbanging amaris is happy amaris. Lockdown = headbanging ,03/01/2020,lockdown
 ,03/01/2020,lockdown
Easy! Lockdown ,03/01/2020,lockdown
"Even if the official festival is cancelled, that’s only a small part compared to all the unofficial events that take place everywhere. It will go on unless the city is placed on lockdown, which is extremely unlikely",03/01/2020,lockdown
,03/01/2020,lockdown
"No. Even if the official festival is cancelled, it will still be a huge gathering as unofficial events are probably bigger than official events. It will still happen unless there is a city lockdown, which is highly unlikely",03/01/2020,lockdown
"Strongly disagree. It won’t happen. Even if the official festival is cancelled, that’s only a certain portion of all the events/gatherings/activities. Barring a city lockdown, that won’t happen. It’s like trying to “cancel” Mardi Gras in New Orleans",03/01/2020,lockdown
Houston playing lockdown defense,03/01/2020,lockdown
Lockdown ,03/01/2020,lockdown
"OK, if we have to go on lockdown or quarantine, we'll have a while before our cat starts to look at us with cartoon pork chops for heads. #Coronavirus #PreparedNotPanicked",03/01/2020,lockdown
China's measure to lockdown on spread of cronavirus improved air quality. #CleanFresh #carbonfootprint Air Pollution Vanishes Across China’s Industrial Heartland,03/01/2020,lockdown
"The genotype assays from China were six weeks late(so we assume) If what you say is correct, then this has been around for some time. Then raises the question why were the Chinese ready at the mark to lockdown 51 mil. People?",03/01/2020,lockdown
Ya mans got broke by a perimeter lockdown ,03/01/2020,lockdown
"Not only are five million #Palestinian people unable@to vote for the govt the rules ther lives, @IDF is placing them in a lockdown on the day their masters go to vote. #Zionism #IsraeliCrimes",03/01/2020,lockdown
Your fairly crazy if you haven’t thought about preparing for Corona Virus Lockdown. This is a new virus that every major health official on record has come out publicly and stated “citizens should begin preparing for a Pandemic.” This has been public knowledge for weeks.,03/01/2020,lockdown
love lockdown,03/01/2020,lockdown
