Text,Date,search_term
"New habit: taking off all my clothes at the door step, put my shoes outside and Lysol them down. Becoming cleaner&gt;&gt; cleanliness is godliness",04/01/2020,lysol
Nothing has felt the same since all of this. I HOPE EVERYONE CONTINUES WASHING THEIR FUCKING HANDS AND USING LYSOL AND HAND SANITIZER ONCE THIS IS OVER.,04/01/2020,lysol
All purpose for trucking. Also got Lysol wipes in here. Don’t get them confused.,04/01/2020,lysol
Got to be the Lysol and bleach... but you are doing the right thing...so tough to say,04/01/2020,lysol
Psst: I have Lysol Disinfectant Wipes. ,04/01/2020,lysol
I sneezed and my manager sprayed me w Lysol ,04/01/2020,lysol
Make sure to lysol that loot if they pay up!,04/01/2020,lysol
the amount of times my dad sprays lysol LMFAOOOO,04/01/2020,lysol
Stores are still out of Lysol and sanitizer so now I have to bleach everything the light touches.... I’ll check in when I wake up 2moro.,04/01/2020,lysol
I still have my groceries laid out after my wife and I sprayed everything down with Lysol. I'll put them up later. Thanks @bjswholesale for being fairly well stocked. Thanks @bjswholesale staff for still being at… https://www.instagram.com/p/B-awSNWnJZR/?igshid=1aaydyrcvlnas,04/01/2020,lysol
Cooked fish for dinner. Sprayed our rationed Lysol to kill smell. Smelled great. Now smells like fish again. ,04/01/2020,lysol
"Were your hands washed properly for 20 seconds, then liquid sanitized, then dunked in boiling water followed by a fine misting of Lysol, Mountain Fresh, of course; before handling of said books?!",04/01/2020,lysol
Spray with Lysol?,04/01/2020,lysol
On behalf of healthcare workers: Tell Brett to stay home and FACETIME and tell your genius of a roommate that even if you stay 6 ft away the virus lives on surfaces so her self centered tail better be ready to Lysol wipe every spot her and her lil friend touch ,04/01/2020,lysol
Oh no...Lysol Dino Nuggets ,04/02/2020,lysol
I can’t breathe in my own house cause Lysol gets sprayed every 10 minutes,04/02/2020,lysol
Thank you! I just Lysol sprayed money and put it in a ziploc to my last deliverers. I figured they could keep it in the bag til they’re ready &amp; the ziploc is sealed. And thank YOU for your service sir. You are a VIP in these times!!!,04/02/2020,lysol
Solo había dos tias con tres cubre bocas y dos pares de guantes rociando Lysol en su despensa jaja ,04/02/2020,lysol
Thursday happy hour just hits different when you’re wiping down your bottle of wine with a Lysol wipe while you set up a video chat We’ll make do with what we have @Randiculousness,04/02/2020,lysol
i hate that Lysol is still running commercials... like we have any fucking choice but to buy your shit rn ,04/02/2020,lysol
"Glad you're getting some use from the soap. If I can find any lysol or something like that I ""ll send it your way. Good luck staying at home.",04/02/2020,lysol
Ion like how y’all spraying Lysol on ya outside food.,04/02/2020,lysol
Lol my girl did it at her house . Lysol downnnnnnn and boom,04/02/2020,lysol
"Will the city of Los Angeles provide the mask? Like Lysol, hand sanitizer, toilet paper. Hard to come by. I tried to order masks online (wife wanted). The earliest was early May! ",04/02/2020,lysol
Just make sure to spray some Lysol on that packaging ,04/02/2020,lysol
