Text,Date,search_term
"Well he IS out today and on the streets, and showing respect by masking his nose and mouth, unlike that SIR Lysol Von Syphilis cowering in a bunker, blaming Obama for how it looks when Obama NEVER once used it! ",06/01/2020,lysol
SIr Lysol Von Syphilis via @Baligubadle1 and her brilliant assessment,06/01/2020,lysol
"I find it fascinating that I got a suspension for a post repeating what the original person posted (but he didn't the boot for) using the EXACT same words as Lysol Von Syphilis uses! Why is it okay for t*ump to use those words, but I can't?",06/01/2020,lysol
"Exactly!! If by using that word, I would say we CAN see right through the whole shenanigans put on by Lysol Von Syphilis",06/01/2020,lysol
"No, those are what is known as ""boloteros"" Miami PAID thieves who confiscate nursing home ballots, fill them out for Rubio & Scott & Lysol Von Syphilis. Three of them were caught in 2016.",06/01/2020,lysol
"""president"" Lysol Von Syphilis via the great @Baligubadle1 Credit is ALL hers, although I wish I had thought of it first.",06/01/2020,lysol
"""president"" Lysol von Syphillis via the brilliant @Baligubadle1 Mad props for her perfect new moniker",06/01/2020,lysol
Have been drinking the bleach Trump recommended? Or is it Lysol you preffer with your food loo,06/01/2020,lysol
"And if your sexist, racist, sociopathic leader told you to inject lysol, you'd consider it. #MAGAMiscreant",06/01/2020,lysol
"Del tipo: “¿quien te dijo que te eches el Lysol para salir a la calle?, si te cae en la piel al rato un cancer y a ver quien te ve porque yo no tengo tiempo” o “si le andas apachurrando así al celular solo vas descomponer la pantalla...no, el celular no se apachurra solo”",06/02/2020,lysol
Yet this is acceptable to you? Stop drinking the Lysol. ,06/02/2020,lysol
"The POTUS has told over 19,000 lies since his inauguration.Yet, this is your concern. A 3x married, porn screwer, who is legally banned from operating a charity is your hero. Stop taking the Lysol. ",06/02/2020,lysol
"Found some Lysol for Mom...lol She happy now! @Southgate, Michigan https://www.instagram.com/p/CA8lyYFlm-n/?igshid=1ch7lw4p08s2j",06/02/2020,lysol
"Bro, that's worth more than gold right now. I can't find some Lysol products anywhere!",06/02/2020,lysol
"me: “pink drinks don’t affect me w their high caffiene” also me: *slept for 5 hours and worked 5.5, came home and cleaned the inside of my car and vacuumed it, vacuumed my bedroom and my walls, dusted everything, changed an air filter, wiped everything down w lysol*",06/02/2020,lysol
I miss Lysol wipes,06/02/2020,lysol
Stop. Drinking. The. Lysol. Oh...and this ,06/02/2020,lysol
Okay mop water ? Is that with Lysol or spic and spam . Lol,06/02/2020,lysol
Well at the very least we can disinfect it Lysol or Bleach #WearAMask #Biden2020 #RIPGeorgeFloyd,06/02/2020,lysol
"Still to this day (June 2, 2020), the Lysol spray (or any disinfectant spray) and sanitized wipes are very scarce. I was finally able to get one of each yesterday at Walmart. They were the last one of each sitting on the top shelf. I've been trying all over town for four weeks! ",06/02/2020,lysol
"If you need a place to rest, heal, organize, plan, make calls, use Wi-Fi, if you need a place to cry, if you need a place to store 190 bottles of lysol, this home is a place for YOU. It ALWAYS has been. And ALWAYS will be, open. #LETTHEMBREATHE",06/02/2020,lysol
Throngs of people looting while the city employs a lysol spray boy for the mayors podium. ,06/02/2020,lysol
"What ""facts"" are wrong? The mere definition of a fact means they cannot be ""wrong"". If anything I posted was wrong, they wouldn't be facts. Go drink some bleach or Lysol. You are overwrought!",06/02/2020,lysol
"@amazonmex buenas ofertas del súper, tiene lysol y una serie que me tiene muy picada #quemaspuedopedir",06/02/2020,lysol
"LOL, listened to L.A. mayor’s speech which seemed sincere but socialistic at several points.He finished&some man ran up & sprayed Lysol all over the mic and podium and did it so fast I had to laugh. #SNLMoment #Riots2020",06/02/2020,lysol
"Little Man, it seems to me that every time your Wife Cheating Daddy says something very stupid, you try to top Lysol. Oh, you cheat too. The questions, have you met Gavin? Have you cheated on KG yet? Why did you abandon Five Kids? https://twitter.com/DonaldJTrumpJr/status/1267593929479815175",06/02/2020,lysol
"Jeff, you are almost a bigger Asshole than Lysol. Wipe your mouth, disgusting. https://twitter.com/realJeffreyLord/status/1267593455288680448",06/02/2020,lysol
"You are a complete, certified Idiot. Come on, Bobby, supporting Lysol, The Wife Cheater, Racist, Misogynist, Fraudster; what kind of man are you? Don't answer, I know. A thief. $17M in assets. How in the Hell did that happen? It appears you are in it for the money. Stop begging. https://twitter.com/robertjeffress/status/1267590804140363776",06/02/2020,lysol
2 servicios de @Uber_MEX que he pedido el día de hoy y ninguno utilizaba cubrebocas ni traía lysol. Como si no pasara nada ,06/03/2020,lysol
Are you looking at a mirror? Trump imagines that Lysol is the cure for Covid-19 and tells right wings to drink it or shoot it. But wait: He said something but meant something else.,06/03/2020,lysol
I’ve heard lots of nuance about police budgets. I have fam who are officers getting sprayed w Lysol &amp; deprived of PPE gear for covid — but they have riot equipment. Great questions to dive into! ,06/03/2020,lysol
One asked his people to bang thaali and the other asked them to drink Lysol...educated.. ,06/03/2020,lysol
ONLY substitute Lysol wipes for toilet paper if you're racist. #Facts #punchnazis,06/03/2020,lysol
Lo rociaron con Lysol,06/03/2020,lysol
"Woah, little fella, take a breath. Go buy a belt, you're struggling trying to hold up those big boy britches. We Americans will figure out our political struggles without you throwing stones. Using that can of Lysol...found some of you on the bottom of my shoe. Run along now.",06/03/2020,lysol
"And shortly after these pictures were taken, the archdiocese had the church sprayed with #Lysol",06/03/2020,lysol
"Did he pick #lysol or #Clorox? #Hydroxychloroquine or bright sunshine? Or, the miracle that it just goes away in April? Or, is he still busy playing #doctor?",06/03/2020,lysol
We both wear a mask. And I constantly make him wash his hands. Before and after therapy. I also keep hand wipes and travel Lysol on me. They aren’t letting any other guests inside. So it’s easier to practice social distance... He didn’t like teletherapy so I had no choice.,06/03/2020,lysol
I sewed four cute masks so I can wear a different flight for every connecting flight lol! I can’t find sanitizing wipes anywhere. Not like I can bring a can of Lysol in the plane...or can I? Good luck with your travel! Lol!,06/03/2020,lysol
"Thanks for welcoming a COVID-19 superspreader event. Trump wants every seat filled. Trump does'nt want Social Distancing or masks. Assuming you'll be at convention, are you going to wipe yourself down with Lysol before going home to your family? #Jacksonville #Florida #Trump #GOP",06/03/2020,lysol
Dementia?? Trump cannot even read a thought that someone else writes for him so that we don’t have to hear his jibberish. Shooting up Lysol and sticking a light up you is a functioning mind? Good day to you buttercup.,06/03/2020,lysol
He never used troops against American citizens. He didn’t ignore info given in briefings that resulted in 100k deaths. He never suggested shooting up with Lysol and there is no Obamagate. Trump needs to go! Vote the GOP out from top to bottom!,06/03/2020,lysol
*sniff* It just seemed too good to be true. *sniffle* Just too wonderful. Too in line with what I wish I’d said. Who is that grandiloquent mystery man? I’d like to send him some Lysol!,06/03/2020,lysol
"Whoa now that’s big. I haven’t seen any of that in months. Not spray, wipes, liquid you put in a bucket with water. No Lysol stuff at all. I’ll start looking harder now",06/03/2020,lysol
"Right, “ it’s a hoax, it’s like the flu, we only have 15 cases. It will be gone soon.” Inject yourself with Lysol and stick a light inside. He was briefed for months about this and did nothing. Blame the governors?? I think not. This blood is on his hands.",06/03/2020,lysol
And I found some Lysol wipes. I’ll be having them right in my purse at all times .,06/03/2020,lysol
"Lmaoo Walmart just let 10 people get all the Lysol products. I would be mad, but I made the cut then gone tell us their is a limit if 1 too late",06/03/2020,lysol
" bruh. That’s true tho, make sure they got Lysol spray to spray behind themselves",06/03/2020,lysol
