Text,Date,search_term
Lysol in truck form. ,03/01/2020,lysol
"Im wondering when the coronavirus was first released in Wuhan. (Mayhaps 2stop protests) virus very strong. 2get the videos of folks keeling over in the streets?? Also wondering about trucks in China spraying, almost flooding the streets later, if it was a Lysol type product?",03/01/2020,lysol
Walmart is out of hand sanitizer and Lysol wipes. It’s officially the apocalypse.,03/01/2020,lysol
"Seen something online about Lysol having this on the back of the can — had to check it out myself .. certainly does. The human corona virus is nothing new, just a virus that is coming back .. still, the power of… https://www.instagram.com/p/B9LVrpzDvmf/?igshid=q7elrsivihk2",03/01/2020,lysol
Yo fui ayer a Walmart y no habian toallitas desinfectantes Lysol y Clorox!! Me pareció increíble!,03/01/2020,lysol
I have a sore throat and John is trying to spray the entire house (and me) down with lysol ...smh...,03/01/2020,lysol
I have a container of lysol wipes left over from when our son had H1N1. We isolated him in the basement bedroom.,03/01/2020,lysol
We got the lysol! Keep those germs away @roydean20 @jennife59687905 @asds1605 @Depot_EK @b_mungul,03/01/2020,lysol
"Stop twisting our presidents words as usual ted. Now , if the virus is new , why is it on back of the Lysol wipes can ? Simple question .its not an I got ya moment..simple question . ",03/01/2020,lysol
js found out that lysol that kills germs has the corona virus in it ,03/01/2020,lysol
Use Lysol clean your ears out ,03/01/2020,lysol
People PLEASE stop with the conspiracy theories about #CoronaVirus based on its appearance on Lysol and Clorox. Educate yourself beyond what your third cousin twice removed sends you on Facebook. ,03/01/2020,lysol
"True.. But however it was bullshitly (new word lol) said, it's the truth.. You only wear the mask when you're sick.. It's a false sense of security, people constantly touching their faces to re adjust masks all no beuno! Simply act like everyone got a cold, wash your hands, lysol",03/01/2020,lysol
"My stocking up was buying an extra discount tp, and two cans of Lysol. Next pay day will be diapers, baby Tylenol and soups. What about everyone else?",03/01/2020,lysol
word that’s what i’m thinking. i have my hand sanitizer and lysol wipes! ,03/02/2020,lysol
Human Coronavirus is listed on back of Lysol cans so been here a while already just weaponized by the Chinese and Democrats!,03/02/2020,lysol
Y’all got y’all face masks and Lysol wipes yet?,03/02/2020,lysol
I also spray him down with Lysol before he’s allowed inside.,03/02/2020,lysol
They're probably just spraying lysol on everything ,03/02/2020,lysol
I went to my store and there was no Lysol or Clorex wipes,03/02/2020,lysol
Did anyone check the Lysol can to see if it had Human Coronavirus listed on it??I thought I had one but didn't,03/02/2020,lysol
Spray the package with Lysol or some other disinfect.,03/02/2020,lysol
I’m the Lysol,03/02/2020,lysol
*se monea con Lysol*,03/02/2020,lysol
Lysol claims to destroy 99.9 percent of viruses and bacteria. @Picacho Peak State Park https://www.instagram.com/p/B9P8GoHlSH-/?igshid=6ger44e641hl,03/02/2020,lysol
My store is out of Lysol and Clorax wipes and cleaners. It's getting real!,03/02/2020,lysol
New virus huh? Why is it on the back of a Lysol can already? ,03/02/2020,lysol
Use Lysol to kill these germs ,03/02/2020,lysol
#PublicHealthEmergency #PublicHealthIssue #PublicHealth #Coronavirus #WHO #CDC #NHS #Outbreak #Pandemic #Quarantine #Florida Lysol Effective ? @GovRonDeSantis @HealthyFla https://hereforhealthyschools.lysol.com/Here-for-healthy-habits.html #PublicHealthEmergency,03/02/2020,lysol
"Fui a Walmart, no hay casi nada para el sistema inmunológico ni nada de Lysol, Clorox o antibacterial. Estan todas esas gondolas vacias... debo preocuparme? ... ",03/02/2020,lysol
That stuff killed everything lol. I will settle for Lysol and bleach,03/02/2020,lysol
"I will be at AWP with lysol wipes and hand sanitizer, excited to see you all also nervously touching bathroom door handles. ",03/02/2020,lysol
"Whoever wrote ""wipes to clean the keyboards after use"" on the whiteboard in the rotunda last Tues: thank you for the great suggestion! We talked to IT, &amp; they now have Lysol wipes available @the IT Help Desk for you to wipe down library computers before/after using them. – at Hoover Library",03/02/2020,lysol
Some people are purposely coughing on ATMs at the bank. It’s crazy please make sure you carry Lysol spray when you go out!,03/02/2020,lysol
This is @bartelldrugs on Madison. No masks. No gel. No wipes. No alcohol. No Lysol. Only a few surgical gloves left. #normal #COVID19 #Seattle – at Bartell Drugs,03/02/2020,lysol
Wear a hazmat suit and carry a bandolier of Lysol and an AR-15.,03/02/2020,lysol
I literally brought #lysol to school and sprayed down his book bag and lunch box in the parking lot and made him strip down in the garage and go right in the shower,03/02/2020,lysol
Oh keeping my fingers crossed. Both Ed and Coop feel like crap. Walking around house with a can of Lysol in hand hitting every possible surface I can. Don’t have time for flu.,03/02/2020,lysol
@mta will any of the 500+ new cops be carrying Lysol wipes? Im not scared of brown teenagers who hop the turnstile- but I AM scared of contracting coronavirus on a p̶e̶t̶r̶i̶ ̶d̶i̶s̶h̶ subway car.,03/02/2020,lysol
@HEB will you be limiting the number of @Lysol product we can buy??,03/02/2020,lysol
staff there tell me that’s after the 2nd stock of the day - also note they that the Lysol spray that is also starting to be picked up by consumers. Water is also still being bought - these were all full this am. ,03/02/2020,lysol
"Me as I Lysol my phone, keyboard, and mouse: I have to protect myself from myself.",03/02/2020,lysol
En la escuela de mia hijas siempre piden lysol y como ahora está agotado por LA PINCHE GENTE LOCA QUE COMPRA A LO PENDEJO ya no lo puedo llevar.,03/02/2020,lysol
No hand gel. No hand wipes. No Lysol. No masks. #Amazon,03/02/2020,lysol
"We don’t have Lysol spray here so I had to put water, bleach and a tap of fabuloso in a spray bottle ",03/02/2020,lysol
Can’t find Lysol spray or hand sanitizers anywhere,03/02/2020,lysol
"Esos que se acabaron el ""Lysol"" y los cubrebocas, son los mismos pendejos que se acabaron la gasolina la vez pasada.",03/02/2020,lysol
Y’all sams is sold out of hand sanitizer Lysol and waters......,03/02/2020,lysol
Sent all my coworkers an email how I WILL spray them with Lysol at the end of the day if I needed to. Not about to catch that virus ,03/02/2020,lysol
"Y por toda la gente pendeja que se está acabando el Lysol y los cubrebocas, es por lo que nos merecemos una purga mundial con este o cualquier otro virus. Fin del comunicado.",03/02/2020,lysol
Seat mate using Lysol on flight to ORS. #coronasafe,03/02/2020,lysol
Canned soup and Lysol disinfectant are moving faster than this virus – at Target,03/02/2020,lysol
"Did you know that Lysol Sprays,wipes &amp; Clorox help disinfect for many viruses? Stock up today ... don’t forget to wash your hands and try not to touch your face. #fightgerms #nastyviruses #disinfect #germs #lysol #clorox – at Lowes Home Center 7301 Pinellas Park Florida 33781",03/02/2020,lysol
Esos que se acabaron los “lysol” y los cubrebocas fueron los mismos que se acabaron la gasolina la vez pasada.,03/02/2020,lysol
"Really, it driving him crazy? He hasn't mentioned it. Has he missed many appointments. This rally today wasn't originally scheduled it was an add on. Wonder why he did that if he is terrified. Anyway Lysol is never a bad idea. Out of the box thinking.",03/02/2020,lysol
"Exactly the same thing, happen with Lysol. Most of the spray content is propellant, the biocyde left, is ineffective to any kind of virus and bacteria. Lysol is a scam.",03/02/2020,lysol
