Text,Date,search_term
Have you been ingesting Lysol? Because you sound sick. ,05/01/2020,lysol
Having Lysol because you coupon and got a whole bunch pre-pandemic &gt;&gt;,05/01/2020,lysol
"Crystal strikes yet once again, she’s probably part of those ignorant Americans who drank the bleach and Lysol! ",05/01/2020,lysol
"Back to driving and waiting for the social scene to explode! Prepped with my standard lysol for ALL diseases and germs. @Fort Worth, Texas https://www.instagram.com/p/B_qHW7KFCyz/?igshid=1efzaztn51rqp",05/01/2020,lysol
Spray with odoban or Lysol or put a bag on the pump handle.,05/01/2020,lysol
Very limited combo pack. 1 per. $12.95 for a tub of wipes and can of lysol. We are ready to serve you!! Call us 573-254-3311 Text - 573-242-6469 We'll box it up and bring it curbside. #covid_19 #callawaycountystrong #CranesStore #BootsBulletsBritchesBologna #generalstore,05/01/2020,lysol
"If you go out in public and refuse to wear a mask or adhere to social distancing regulations, you’re not a “rebel who can’t be told what to do”, You’re an ASSHOLE. Go drink your Lysol-tini and stay away from my high-risk family. #TrumpIsNotADoctor #SocialDistancingWorks #idiots",05/01/2020,lysol
"Keep lysol flavored bleach trumptini fueled rants to yourself. Clearly you cannot read google is FREE sir she donates to Houston, Ferguson &amp; countless other charities while u support Trumpster fire who doesn't care weve lost more than NAM let alone black &amp; brown lives ",05/01/2020,lysol
Trump didn’t mention Lysol - that was made up by the deep state MSM who hate Trump and the country,05/01/2020,lysol
Clean your insides with some Lysol as he suggests. If he’s your guy....,05/01/2020,lysol
Hand wash with warm water and soap. Air dry then hit it with some Lysol for the finishing touch. Then let air out some more.,05/01/2020,lysol
"We had another excellent experience on Tuesday at our Costco. Very few shoppers in the store...but they were out of paper products, Lysol-type cleaners. (Went in the afternoon...they probably had those items in the morning.) Self check-out was very easy.",05/01/2020,lysol
I did notice they AREN’T demanding we start Lysol trials in humans.... maybe now they can admit he’s an idiot! ,05/01/2020,lysol
