Text,Date,search_term
This is embarrassing I haven’t ordered any during the pandemic but I’m still embarrassed ,04/01/2020,pandemic
@NBCNews @CBS @CNN @MSNBC @FoxNews IT HAS BEEN REPORTED REPEATEDLY THAT CHINA HAS CAUSED THIS PANDEMIC! THIS IS MORE NONSENSE-@SpeakerPelosi Put and end to this nonsense NOW,04/01/2020,pandemic
It be different if they let you move out w no strings attached. You can’t even move out without finding a subleaser... like ma’am who finna sign a lease for another year in the middle of a pandemic. ,04/01/2020,pandemic
"We've reached the ""lying on the kitchen floor screaming 'Why is nobody listening to me?!'"" portion of the pandemic.",04/01/2020,pandemic
So I guess we gone all continue to post our memories on sc till the pandemic over ,04/01/2020,pandemic
Dear @JackDaniels_US. I loved you before this covid pandemic. I love you through this covid pandemic. I'll love you after this covid pandemic. #foreverandalways #JackedUp,04/01/2020,pandemic
"How to stay healthy when bringing home groceries. https://youtu.be/MoQBV5U1AjA . Even when COVID-19 is no longer a pandemic, rules on washing hands and being careful with your groceries will continue to be relevant --- FOREVER.",04/01/2020,pandemic
"@MoneyMan wusup money, I got an essential job working with kids out here in Missouri! Boss to boss, bless the game I don’t even want $, bless us w/ more new music #Pandemic &amp; #StateOfEmergency ",04/01/2020,pandemic
"There’s a lot we can learn from the COVID-19 pandemic, both domestically and globally. We were unprepared, hesitant to act, and did not collaborate with other countries to our greatest extent. The latter is a point I’d like to highlight.",04/01/2020,pandemic
"Yep @IngrahamAngle, blood on your hands as well as #BloodOnTrumpsHands as well as blood on @FoxNews hands for your early obfuscation &amp; downplaying of the seriousness of the #COVIDー19 pandemic. @SteveSchmidtSES",04/01/2020,pandemic
"Well, MSNBC is a non-essential business. And now that they won't even provide the basic update on pandemic prez updates, all i can say is.... So long. #FakeNews #MSMIsTheEnemyOfThePeople",04/01/2020,pandemic
We were happy to accept a donation of 1000 surgical masks from the Chinese Education and Culture Center in St. Louis . This equipment will be distributed to agencies in need to ensure that frontline personnel have the equipment needed during our response to the COVID-19 pandemic. ,04/01/2020,pandemic
"In the midst of a global pandemic, some East Central University students are utilizing their skills to help keep local healthcare workers protected. https://www.ecok.edu/news/ecu-students-making-face-masks-hospital-workers",04/01/2020,pandemic
Live look at me next time there’s a “Pandemic” in the US that doesn’t kill more people than the flu. ,04/01/2020,pandemic
"David Wilcock on the Great Pandemic, Part IV: Answering Your Questions! https://youtu.be/Kqz_s-_Naas via @YouTube",04/01/2020,pandemic
Mavericks Pizza in Saint Paul said they’re busier than normal during this pandemic. So take that for what’s its worth. #eatlocal #buylocal – at Mavericks Pizza,04/01/2020,pandemic
When is @IKEAUSA going to start giving free shipping in light of the #COVID pandemic?! My kids need some of that sweet furniture!,04/01/2020,pandemic
"Pandemic isolation Day #9, project 10... Still in spoon mode...oak, walnut and pecan combo, mosiac pin through the box joint.. #fancyspoon #woodcarving #woodart #handmade #makesomething… https://www.instagram.com/p/B-dOhsDnaeyrZxJVR4W9BKJZes3IzOrOZgTNeE0/?igshid=1vrwyi58wc58g",04/01/2020,pandemic
changing anti-anxiety meds in the midst of a pandemic was a terrible decision 0/10 do not recommend. ,04/01/2020,pandemic
"Before a pandemic, a Louisiana sheriff cuts medics because the liability insurance doesn’t cover them Bad idea? ",04/01/2020,pandemic
"Even at 40 it’s high, the vix could just be indicating it’s more used to this pandemic market but still it is elevated very much. The last week seems to not be the best indicator as equities were rising so was vix part of me sees the vix right now as this guy. No offense intended ",04/01/2020,pandemic
How we must respond to the coronavirus pandemic (Bill Gates | TED Connects). https://www.ted.com/talks/bill_gates_how_we_must_respond_to_the_coronavirus_pandemic?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread via @TEDTalks,04/01/2020,pandemic
"In the midst of the pandemic, bae’s new book just won an for innovation Go @AllRealDeal",04/01/2020,pandemic
