Text,Date,search_term
Curfew set in Fort Worth until Thursday.... I bet y’all gonna for sure enforce this unlike when we started social distancing and quaranting for the pandemic that is still going on mind you. I seriously hate it here.,06/01/2020,pandemic
"June 1st. I’m done. FUCK THE POLICE. Fuck Trump. Fuck the pandemic. Fuck the looting. Fuck 2020. Oh yeah, and fuck June 2nd too. #protest #ICanBreathe #pandemic #Riot2020",06/01/2020,pandemic
"What NEXT, riots, covid 19 pandemic emergency. We need to call out the military... ",06/01/2020,pandemic
Mostly speeches on the west side of the capitol. We are still in a pandemic so trying to socially distance as much as possible. #denverprotests,06/01/2020,pandemic
"I don’t do sci-fi, so I don’t know, are there writers/creations out there that have portrayed a pandemic-infused confrontation at a supreme battlespace? With a psychopathic moron puppet at the head of the most powerful military machine on the Planet?",06/01/2020,pandemic
"Your turn to help Joe Biden, Mr. President. He needs your wisdom to beat this pandemic called TRUMP!",06/01/2020,pandemic
"On April 18, when @HealthyOklahoma began publishing ZIP code data on infections, deaths and recoveries, it opened rural Oklahoma’s eyes to how the pandemic was unfolding in their communities. Without this data/information, I fear folks will be unaware of spread threat levels! ",06/01/2020,pandemic
This has been said I think but... very interesting we have a curfew now but haven’t for the past two months of a fucking pandemic,06/01/2020,pandemic
"One year ago today we said our vows- and they did not mention anything about being quarantined together during a pandemic.. but I guess I’ll keep him! Here’s to 1 year being Mr. &amp; Mrs. Fletcher, and many more to come! Happy Anniversary to my best friend and my rock! ",06/01/2020,pandemic
No it's not they're just stupid and think they're invincible. Dumb people but all they're doing is spreading and killing off the world and the innocent people that are trying to be safe and know that pandemic is still going strong ,06/01/2020,pandemic
Someone please tell me why I just flew home in the middle of a global pandemic only to be put on an 8 pm curfew walahi idk what’s happening to America!!,06/01/2020,pandemic
A global pandemic. A national crisis. And you-know-who gets on TV and just makes threats? How the hell is this helping anything?,06/01/2020,pandemic
"Boy, we sure went from being scared about tyranny because of the pandemic response to wanting to use the US military on US citizens awfully quickly.",06/01/2020,pandemic
"According to the 80 percent of people not wearing masks in Super Saver, the pandemic is over? ",06/01/2020,pandemic
