Text,Date,search_term
Fauci has testified before Congress before. He will be challenged if he refuses during a world-wide pandemic.,05/01/2020,pandemic
Opening doors in the age of infection. — #quarrantine #pandemic #nohands #handsfree #surprisinglyagile #surprisinglyagileforamanofmysize @UNT College of Visual Arts + Design https://www.instagram.com/p/B_qgiHMHnrw/?igshid=1vsldaa6bllp8,05/01/2020,pandemic
"City staff, the City Council, and I have been working hard to steer our town through this global pandemic, and, like all of you, we’re learning as we go. If you have questions or concerns, I’m always happy to talk with you about any of these issues. ",05/01/2020,pandemic
"Check out this great interview with Pastor Michael G. Brown co-author of the book ""Sacred Bond"". [The Babylon Bee] Preaching In Italy During A Pandemic #theBabylonBee",05/01/2020,pandemic
Haven’t seen it but I hear the ending is almost as disappointing as this pandemic ,05/01/2020,pandemic
Real A&Rs like @kodaklens on @defjam hear production from @JaycenJoshua or rappers like @donaldglover and can project hit instantly. All because rappers have 2000 in their music videos doesn't mean it's tight. I'm thankful for invite to the Stock Show pandemic BBQ fest. ,05/01/2020,pandemic
"Where the hell do you get good italian, spaghetti and meatballs, during a pandemic in Denver? ",05/01/2020,pandemic
Trump is a genius- but you can't see his grades... Trump is rich- but you can't see his tax returns... Trump is innocent- but you can't subpoena the witnesses... the pandemic is under control- but you can't talk to Dr. Fauci.... —-William M McKee #DrTrumpsMagicalMysteryTour,05/01/2020,pandemic
The only good thing that came out of this pandemic was having no traffic omw to work... can’t wait for these dumbass drivers to give me a 45 min drive again,05/01/2020,pandemic
Anxiety and Fear Pandemic? https://youtu.be/d4_BgS0t28s via @YouTube,05/01/2020,pandemic
How To Make A Sports Bet In Colorado During The Coronavirus Pandemic ,05/01/2020,pandemic
I won’t be surprised to see how many people are going to grow & start their own brand/business after this pandemic ... ,05/01/2020,pandemic
"Dr Fauci is not that good In the 80's he let aids run a muck Should have quarantine the first patients He let H1N1 run wild 12,000+ die He told Trump in 2017 that he would face a pandemic HOW DID HE KNOW ? I will tell you He the dems Bill Gates and China brought it to Us",05/01/2020,pandemic
WTH? We are in the middle of a pandemic and our president is spitballing.,05/01/2020,pandemic
Botswana: Reinstate #Elephant #Hunting Ban During #COVID19 Pandemic ,05/01/2020,pandemic
"@SteveHartmanCBS You need to contact @dawnbrockman a teacher in Norman, OK. Her son created a PowerPoint presentation on why the family should adopt another dog during this pandemic! They did!! Great story!",05/01/2020,pandemic
"@BretBaier @susanferrechio @foxnews How about we hold China accountable now with serious punishment AFTER we resolve this global pandemic? United we stand,even with China, divided we fall in this disaster.",05/01/2020,pandemic
"Yes, however this pandemic has pushed it back a few months. Which is allowing me the time to finish Arkansas real estate pre licensing. I am beyond ready!",05/01/2020,pandemic
Health report predicts up to 2 more years of pandemic misery ,05/01/2020,pandemic
"Sorry to hear that. Was this a reorganization planned in the before-time, or a pandemic response?",05/01/2020,pandemic
"Wanna take a trip through time in a pandemic fueled apocalypse? (No? Well you should watch this anyway) All 47 episodes of 12 Monkeys: streaming on @hulu. @AmandaSchull, @AaronAStanford, @barbara_sukowa, @emilyhampshire, @ToddStashwick and @kirkacevedo make it a wild ride.",05/01/2020,pandemic
PAC was relocated to 205 Live and is treated like a star in AEW. They were building to a faction with Spears & Tully before the pandemic. AEW will pay the most as well &amp; are actually hiring unlike ROH &amp; NJPW who are closed till at least the end of June.,05/01/2020,pandemic
lmao these hillbillies are protesting a pandemic ,05/01/2020,pandemic
"As tough as this season has been for all of us, it has been amazing to watch our fellow Arkansans rally together to support those of us who have been affected the most by the COVID-19 pandemic. ⁠⠀ ⁠⠀ The thread that… https://www.instagram.com/p/B_qZe0TDhit/?igshid=x31jrctf6vih",05/01/2020,pandemic
@WichitaState students xoxo Why Your Career Will Survive the Pandemic A Letter to 2020 Graduates @FairmountWSU @WichitaStateCAS @WSUEngineering @WichitaStateSA @BartonSchoolWSU @CohenHonors_WSU @WSU_CHP @WSU_FineArts,05/01/2020,pandemic
Ppl are at the new TopGolf here in BMT. It had been under construction even before this pandemic but this is the first I've seen anyone actually there.,05/01/2020,pandemic
Got a link for more whataboutism. Trumps destroying this country. Americans are dying bc of his inaction. NOVICE remember. And you keep disrespecting the dead Americans by trying to blame the previous POTUS. Trump eliminated pandemic response team. Fact,05/01/2020,pandemic
"IMPOSSIBLE. Just boasting about the fabulous job Trump has done leading the country through the pandemic is a lie. Trump, and everyone around him, can’t help but lie.",05/01/2020,pandemic
"W8, isn’t there like, a pandemic happening rn? ",05/01/2020,pandemic
"Besides the masks, it’s hard to tell we’re in the midst of a global pandemic. Most days feel like the Monday of a long weekend. At least in Oakland. Although I see the same thing in San Francisco: People going places, shopping and hanging out. What about where you live? ",05/01/2020,pandemic
"Status report: Day ?? of shelter-at-home and I’m just happy to have made it through April. Hair continues to grow longer, greyer. Of course I filtered this pic, I’m 44 and pandemic-fatigued and only human @Ivy… https://www.instagram.com/p/B_qY6I-hmBg/?igshid=180zr4xjzqvde",05/01/2020,pandemic
Does McConnell know there is a pandemic going on!! There are way more important things you can spend your time with than this partisan croney crap now go help Americans out that need it and not the rich only. Geez I’m embarrassed to be an American sometimes. ,05/01/2020,pandemic
"Happy 29th Birthday to this guy! I’m sorry it had to be during a pandemic, but I know you’ll still receive the love from all family and friends. I love you to pieces @Austin, Texas https://www.instagram.com/p/B_qYtM-pSMs/?igshid=tw9iw3r5px2d",05/01/2020,pandemic
Haha if you think it took a pandemic for my mom to be stocked up on paper goods you don’t know her! She’s been keeping NEPA Sam’s Club in the black for years.,05/01/2020,pandemic
"everyone dealing w this pandemic issue i just wanna lyk better days will come , keep your head up ",05/01/2020,pandemic
"As bad as the pandemic is and as bad as it’s handling by the administration has been, it is most dismaying that this is probably the only country in the world where businesses are hesitant to reopen for fear of liability suits. Let that sink in.",05/01/2020,pandemic
