Text,Date,search_term
#chronicillnesswarrior #autoimmunedisease #sacroiliitisfighter #spondylarthritis #suicidesurvior #itsokaytonotbeokay #mentalhealthawareness #COVIDー19 #coloradoshutdown #denverlockdown #immunecompromised #Quarantine ,04/01/2020,quarantine
"Sharing the chalk love. #stayhome #coloradolove #colorado #love #quarantine @Denver, Colorado https://www.instagram.com/p/B-dR5gPgupl/?igshid=yi5je5za3yon",04/01/2020,quarantine
Bruhhhh quarantine has given me like 4 streaks ,04/01/2020,quarantine
"Since the quarantine began, I've watched 3 seasons of @HandmaidsOnHulu. Now I can't wait for season 4! #handmaidstale",04/01/2020,quarantine
"I don't know what this means, but there's a Brett Cecil easter egg in The Outsider #stlcards #cardinals #nosports #quarantine #SocialDistancing #isolation",04/01/2020,quarantine
I think @inagarten has this quarantine thing figured out ,04/01/2020,quarantine
Too late who cares it’s quarantine,04/01/2020,quarantine
Tomorrow is our fourth virtual spirit day this week & it is “Quarantine Hair we DON’T CARE!” We can’t wait to see everyone’s CRAZY hair! @WC_Athletics,04/01/2020,quarantine
Quarantine ,04/01/2020,quarantine
it’s only day 17 of quarantine and I’m officially bored with my phone. I’ve done everything you possibly can on it ,04/01/2020,quarantine
"Quarantine silver lining: Actually being home long enough to take care of, use and fully enjoy my backyard! With all this nice weather, morning workouts on the deck have been such a… https://www.instagram.com/p/B-dRRBLBY7UqrmmgKuWAC0IF-H8mC_CXAJechk0/?igshid=1g6xr3oubk0h9",04/01/2020,quarantine
"Day 17: I may have been exposed, on a fave day mandatory quarantine until my dad’s roommate’s boyfriend’s test results come in.",04/01/2020,quarantine
Quarantine means posting random song lyrics friend’s facebook and letting them try to figure out what the heck is going on. #areyoudrunk,04/01/2020,quarantine
"As #SocialDistancing and #StayAtHome orders continue, I hope you’re staying active! It doesn’t take much, even a #walk is great. #Quarantine #QuarantineLife #StayHome #COVID19Pandemic #CoronavirusUSA #exercise #ExerciseAtHome #WorkoutWednesday #WorkoutFromHome #workoutmotivation",04/01/2020,quarantine
QUARANTINE games...What are 5 movies you can watch countless times and never get sick of? 1. Love don't cost a thing￼ 2. Love and basketball 3. How high￼ 4. Friday 5. Coach Carter ￼￼ Keep the fun going Copy &amp; paste yours,04/01/2020,quarantine
This is how I feel during the quarantine....... ,04/01/2020,quarantine
 Yesterday’s Vlog What's Cookin in Quarantine + Paint or Die + Indoor Animal Farm https://youtu.be/M3PtY4ocEhw via @YouTube,04/01/2020,quarantine
I’m sleeping in the streets first night post quarantine,04/01/2020,quarantine
Day 69 of quarantine cuh ,04/01/2020,quarantine
"I know you’re tired of push-ups. . ...but crank a few more out for this full body complex. . Put 30 sec, 1 min, or even 90 sec on the clock and see how many you can get done. . Quarantine Sweat . fuseFITness #Ignite… https://www.instagram.com/p/B-dP23NF2y3/?igshid=v17fzav0a5ir",04/01/2020,quarantine
bc we are living the biggest joke rn in quarantine ,04/01/2020,quarantine
"I don’t know what’s slower, this quarantine or @SaltyRoxy",04/01/2020,quarantine
What’s for dinner? she said me! bitch we on quarantine ,04/01/2020,quarantine
"Oh you know, just in quarantine at the beach in Monterey. Definitely never going back to NYC! Hope the entire FO is healthy and doing well! Thanks for the content!",04/01/2020,quarantine
netflix movies that i totally recommend since we’re all bored during quarantine: a thread - (creds to @amiraheis for giving me this idea!),04/01/2020,quarantine
happiest day I’ve had in quarantine ,04/01/2020,quarantine
I would give up all my worldly possessions in order to be able to quarantine in paradise with a house full of amazing dogs like @TheGoldenRatio4,04/01/2020,quarantine
This quarantine might be turning me into a RB #oline @linemanissues,04/01/2020,quarantine
And I thought I ate a lot of Mac & Cheese BEFORE the quarantine. Gonna start calling it “MaCORONA &amp; Cheese.”,04/01/2020,quarantine
"I am going to post a song a day until the end of quarantine. They will be songs that I love, with my memory to accompany them. Today: The Hills— The Weeknd Hated this song at first. Until I realized it really bumps in a car. ",04/01/2020,quarantine
im just tryna quarantine &amp; chill ,04/01/2020,quarantine
@momofT_A Hats off to teachers! How are you making out during this time of quarantine?,04/01/2020,quarantine
i’m sorry to anyone who receives my dry humor jokes during this quarantine. i really do feel bad for you. cause you can’t escape it and i won’t stop sending them.,04/01/2020,quarantine
I don’t think I’ve stupidly danced around my room like this since I was 16 years old. Funny what quarantine will do to you,04/01/2020,quarantine
all during quarantine? smh...,04/01/2020,quarantine
Alot of y’all gettin that Quarantine 15 ,04/01/2020,quarantine
Do you believe in endless possibilities or are things simply Black & White? : @mlvivant ••••••••••••••••••••••••••••••••• #color #possibilities #blackandwhite #art #life #create #quarantine #quarantine… https://www.instagram.com/p/B-dQg9IH1v7/?igshid=1mf1m32cktbtq,04/01/2020,quarantine
I need a new #workoutbuddy - this #quarantine is gonna have me fall off... I miss my gym @92Y #homeworkout gone wrong - I had a #bellini for breakfast #slackingoff #slacklife #sbslim #thestruggle… https://www.instagram.com/p/B-dQSaElyVM/?igshid=1d4ukx4jdx2mj,04/01/2020,quarantine
Cael hasn’t tweeted since 2018 then brought the heat today! Quarantine even gettin the out of his shell! LOVE IT!!!,04/01/2020,quarantine
"2.2mi run in 35min at Frank Pileggi Park: #SocialDistancing got me stir crazy, so 48° sounds like good weather to start my spring running program. Gotta get outta winter quarantine shape. https://www.mapmyride.com/workout/4125664981 – at Frank J Pileggi Park",04/01/2020,quarantine
"""FOOLiSH*HEARRRTS!!! HEAR:ME*CALLiNNN'!!!! STOP*BEFORE!!!!!!!! YOU:START*FALLiNNN'!!! #COViD19 #QUARANTiNE #80s #ROCK #Music #STAYHOME #ApriLFooL #WEDNESDAYTHOUGHTS #WEDNESDAYWiSDOM #GOODViBESONLY ",04/01/2020,quarantine
"i’m sorry to sprinkle all of this on y’alls timelines and interrupt the endless stream of memes and quarantine content, but we need to stay home for the greater good. to fight for the ones who don’t have a fighting chance with this virus.",04/01/2020,quarantine
"Quarantine cooking with Mr. Stuff. Pita bread pizzas and fresh farm box veggies!! #terrybuysstuff #stayhome #stayhealthy @Las Vegas, Nevada https://www.instagram.com/p/B-dQev_naBc/?igshid=1wh8lw3fu3nyh",04/01/2020,quarantine
Imagine not taking the quarantine seriously and posting pics of u hanging out with ur friends... couldn’t be me ,04/01/2020,quarantine
"Quarantine day #873 (or close to that). @microbin78 has decided to channel his bartender roots. @Orlando, Florida https://www.instagram.com/p/B-dQbjABo2I/?igshid=1lssxosxbairr",04/01/2020,quarantine
"Only Fans , Pussy lips on live , COVID-19, self quarantine feels like it’s been 100 days... I’m done with ya 2020 I’m going back to 2004 ",04/01/2020,quarantine
Quarantine got y’all wildin on the tl Jesus Christ. ,04/01/2020,quarantine
"When The world had no #socialdistancing Go Away #corona, Go Away!!;) #memories #quarantine #socialdistancing #covid #keepposting #covid19 #coronavirus #nyc #usa @Puerto Aventuras https://www.instagram.com/p/B-dQaorDqzp/?igshid=1wg956unuzm8m",04/01/2020,quarantine
Before the quarantine &gt;&gt;&gt; – at California Baptist University,04/01/2020,quarantine
April Quarantine Day 1 30 days of running at least 1 mile starting today. Hoping to be at 3 miles straight by end of month. It’s going to be a challenge but that’s gonna be the fun in the end. Day 1 results are pictured. I want to be down to 6-7 minutes a mile. ,04/01/2020,quarantine
"Reminiscing on a beautiful day makes this quarantine better Love you Llama! #lifebeforequarantine #takemeback @Miami Beach, Florida https://www.instagram.com/p/B-dQYT6jTzJNt37oh5QqPVPhqksu2hcjZq3t-k0/?igshid=7k5m1yxs82qf",04/01/2020,quarantine
"Quarantine 101....SMORES!!! @Laurel, Maryland https://www.instagram.com/p/B-dQX3GjnpYOP8Fdcg0Mwc3XDulHedac7l8an80/?igshid=10kz1fjwmngzv",04/01/2020,quarantine
"honestly with this quarantine going on, I think it’s time to dye my hair some funky colors",04/01/2020,quarantine
Amela been whipping firee in the kitchen since this quarantine started ,04/01/2020,quarantine
It’s a quarantine miracle!! Finally getting Eric to watch Battlestar Galactica ,04/01/2020,quarantine
I feel terrible for elderly people rn. It’s difficult for many of them to get around/run errands already but with this quarantine thing it has to he even tougher on them,04/01/2020,quarantine
only the most informative quarantine activities for me,04/01/2020,quarantine
Catching up on @DefendGavin during quarantine ,04/01/2020,quarantine
Jack Harlow Interview On Quarantine Jamn945 https://youtu.be/MOSd-Vtr_Gs via @YouTube,04/01/2020,quarantine
Next quarantine imma have a healthy relationship cause this is ghetto,04/01/2020,quarantine
Quarantine dreams so far: - I was cast as chester cheetah in a musical about Cheetos - accidentally flashed @Harry_Styles when he brought me onstage to try on my sparkly jacket (sorry) - nearly drowned in Nickelodeon slime - took a fish for a walk on a leash?,04/01/2020,quarantine
nobody knows People out here bored because of the quarantine ,04/01/2020,quarantine
Biiish this Quarantine got these heauxes on Tik Tok twerking on the ghost version of themselves. Send help.,04/01/2020,quarantine
well folks it finally happened! my first quarantine mental breakdown!!,04/01/2020,quarantine
"1/4 Other experience with no damage to business : In Taiwan - no quarantine, no lockdown, all schools are open (after only 2 weeks closure ) and life continues. #coronavirus #covid19",04/01/2020,quarantine
"My mom is in the kitchen, baking a cake... listening to a podcast about the mark of the beast, casual quarantine things.",04/01/2020,quarantine
Living here in Virginia. Just went to pick up carry out. There were people at the bar. What the hell people! Stay at home and quarantine!,04/01/2020,quarantine
Anyone else actin up cuz quarantine??,04/01/2020,quarantine
"This is coming out on my bday! I know you didn’t plan it that way (hard to believe, tbh) but thanks for helping make my quarantine birthday a little brighter!",04/01/2020,quarantine
This quarantine has forced me to make actual meals and honestly I’m so proud of myself. ,04/01/2020,quarantine
Remember when everyone was saying in 2020 it’s all about focusing on themselves? So if y’all don’t have your shit together when this quarantine is over.. there’s really no saving y’all ,04/01/2020,quarantine
My new show during quarantine #buildingoffthegrid #travelchannel,04/01/2020,quarantine
So this is what happens when you are in quarantine. At least I’ll have a hobby. #SideEffectsOfQuarantineLife,04/01/2020,quarantine
The goal of a coach is to have athletes that are extensions of them inside and outside the gym. Just shows that my guys have been listening as well as working. @ryannrapp leading the way during the quarantine. #RoarWithUs @Albright_FBall @AlbrightCollege @AlbrightLions,04/01/2020,quarantine
Quarantine day 735: I rearranged my home screen and can’t find any of my apps. It will take the remainder of quarantine to figure out the new layout.,04/01/2020,quarantine
Fun activity for those who are still doing online lab meeting during quarantine!! ,04/01/2020,quarantine
Quarantine: washing dishes is actually fun now,04/01/2020,quarantine
