Text,Date,search_term
 I was excited to go out after the quarantine lift. After the Rose Garden address I think imma stay here #Rosegarden #MARTIALLAW,06/01/2020,quarantine
All those “Thank You” signs on the freeways during the quarantine has these truckers thinking they can run over civilians.,06/01/2020,quarantine
The same people who complained about the “tyranny” of having to quarantine and wear a face masks are cheering the use of the National Guard/Military on American citizens...,06/01/2020,quarantine
"These protest naps been hitting harder than any quarantine nap, lemme tell you.",06/01/2020,quarantine
This proves quarantine is turning brains into mush. ,06/01/2020,quarantine
Everybody: “you look stupid. why are you wearing a beanie today it’s almost 90 out” Not as stupid as I’d look if you saw how big my quarantine hair is. ,06/01/2020,quarantine
"If this was a bunch of white people with guns protesting Quarantine or being told No, this wouldn’t happen. America really about to have a whole ass war soon ",06/01/2020,quarantine
"I finally added ""trim quarantine beard"" to my to-do list"". I've been dreading it but It's too untamed",06/01/2020,quarantine
"Happy 1st Anniversary to my amazing wife @mrs_blecha! We've survived one year that included a pandemic, a quarantine, a quarter of schooling at home and the better part of a kitchen remodel. If Apocalypse 2020 can't come between us, I think it's safe to say we're in this forever! ",06/01/2020,quarantine
People just forgot how to act since the quarantine,06/01/2020,quarantine
This is NOT helping my Quarantine Fitness Goals...,06/01/2020,quarantine
hey just a reminder to everyone protesting & rioting- self quarantine afterwards for at least a few days!! and try and get tested if possible for covid!! it’s still v much prevalent and i want you all to be safe AND healthy ,06/01/2020,quarantine
Might be time for me to mix in a salad. The quarantine 15 is more like 25 but it was fun to be back on the ice. Thanks Tony! ,06/01/2020,quarantine
Reminder that our taproom is officially OPEN today along with our front and back patio Happy Hour 2-6PM . . . . . . #supportlocalabq #nmbeer #nmcraftbeer #nmbreweries #albrewquerque #livebold #quarantine #2020… https://www.instagram.com/p/CA6CYBvFRiS/?igshid=16p79dh53tm12,06/01/2020,quarantine
First quarantine now curfew... ,06/01/2020,quarantine
I want Beyoncé and Jay-z To make quarantine music videos with the kids please ,06/01/2020,quarantine
"To accompany our first day back in the Studio since the quarantine, we wanted to share some creative ways our clients have offered flexible work and social spaces for their employees. Read it here: https://www.landworksstudio.com/news/article/welcome-back-to-adaptable-office-spaces",06/01/2020,quarantine
"Y’all, brands have so much to convince people they care about this month: lgbt+ pride month, protest/anti-racism activism, covid and quarantine. Like wow Chad in marketing is sweating bullets rn",06/01/2020,quarantine
"On the day Safer at Home expires in CO, I finally get to start my quarantine hobby, embroidery, which just arrived in the mail 47 days after ordering LOL ",06/01/2020,quarantine
Boy we been on quarantine 2 months a curfew is nothing lol.,06/01/2020,quarantine
I’ve made 39 amazon prime purchases since quarantine has started I am not okay,06/01/2020,quarantine
Another one! Happy Customer Quarantine Queen Collection is still in stock. #BlackOwnedBusiness #minklashes #usvendor #selfmade,06/01/2020,quarantine
The story of 2020: -Kobe (woah that seems like years ago) -Australia on fire -POTUS impeached -Corona Virus -World Wide Quarantine -Murder hornets -North Korean leader dying and coming back -Anonymous comes back after years of silence -Oil prices drop all time low,06/01/2020,quarantine
@NYGovCuomo So not only have we been oppressed with this stay at home quarantine where our localities are closed our beaches are closed but now you’re telling us that we have a curfew like we’re little children. That’s bullshit! So much for free speech and right to expression,06/01/2020,quarantine
Is that Quarantine hair?,06/01/2020,quarantine
