Text,Date,search_term
Maybe he will visit a quarantine facility to inspire the sick! I'm sure that must be what he means about Obama. J/K,03/01/2020,quarantine
"They have intermingled into society. Right now, clusters are starting to appear. Especially in Washington state. A nursing home, school,& firehouse. All infected, & under quarantine. Then you have isolated individuals, all over the country. The hospitals will be overwhelmed soon!",03/01/2020,quarantine
"The whole firehouse, is under quarantine. They all are infected. This is getting worse, by the day. The incubation period, is over. Now you will see , many new infectious people. The administration, dropped the ball big. Never expected the forces of nature. To stop the Corruption ",03/01/2020,quarantine
@chucktodd : you blew interview w/ Pence. He cited travel ban &amp; quarantine as competent but you failed to cite how DJT dismantled key existing NSC experts/systems &amp; wasted 2 months w/o good test kits. Pence claimed all criticism was Dems rooting for disaster. The disaster is DJT!,03/01/2020,quarantine
"“The quarantine plan hastily hatched by the federal Department of Health and Human Services was soon scrapped by , who faced intense pushback from Alabama’s congressional delegation, led by Republican Rep. @RepMikeRogersAL.”",03/01/2020,quarantine
This is how I’m walking into the office tomorrow morning. This will be my one outfit for the rest of the season. All the inbound network executives have to be put on a mandatory 14 day quarantine at TPS. We’ll have… https://www.instagram.com/p/B9NarZFpDyS/?igshid=195bk8bm2x7yx,03/01/2020,quarantine
Self quarantine may not work as we don’t have paid sick leave policy and people may not afford to miss work ,03/01/2020,quarantine
Mary needs quarantine virus or not,03/01/2020,quarantine
#COVID19 quarantine leads to surprise medical bills for US family - ,03/01/2020,quarantine
"Nice! I tend to always have a stocked fridge, freezer and cupboard so can weather a quarantine if needed.",03/01/2020,quarantine
No ! Jeri is negative and after a month of quarantine will be coming home tomorrow! ,03/01/2020,quarantine
"I have to self quarantine myself and miss out on work, whoever gave me this literally go to hell and back",03/01/2020,quarantine
"My middle aged parents are turning into slightly more serious prepers, I am simultaneously proud and bemused. I now think we can successfully quarantine in place for up to a month or longer, if needed. Although the odds of needing to because of Corona virus is fairly small",03/01/2020,quarantine
Self quarantine. The American Way! #affordablecareact,03/01/2020,quarantine
"Recession is near!!! & Canada is screwed,this virus is shutting down the economy,markets were nuts last week,this week will be worse & we don’t have a Gov. for the people,so everyone should prepare themselves for a minimum of 4 weeks quarantine if it hits you! Prays 4 all!",03/01/2020,quarantine
"Over 1/2 of China’s confirmed COVID19 cases now show as “recovered.” EXTREME isolation/quarantine measures are slowing it. Most other nations are still in ramp-up mode, even unprepared. But aggressive actions CAN reduce its spread https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6",03/01/2020,quarantine
"Lol, a plan? Jack is gonna have a press conference blaming the parents and the use of the arena as a quarantine center/terrordome. ",03/01/2020,quarantine
Yes people just now getting bills from the quarantine of the cruise ship!,03/01/2020,quarantine
After 25 days of “stay in your home” quarantine.,03/01/2020,quarantine
