Text,Date,search_term
Love that quarantine hasn’t stopped the cat callers from doing their thing,05/01/2020,quarantine
@JonTLangston saying the first thing he’s going to do when this quarantine is over is go to a Mexican restaurant and get margaritas is my 2020 mood. ,05/01/2020,quarantine
"Am I running or am I shuffling? Hard to tell. Listen, Texas is beginning to open up... with caution. Yay! I’m runnin off this quarantine like the best shuffle master you’ve ever seen!! Listen, none of this… https://www.instagram.com/p/B_qh1cQHE4n/?igshid=2jev7pvhwno1",05/01/2020,quarantine
A 2 lake view type of walk today and even got the pups out for a bit! One of these days I may just steal them. #mapmywalk #walk #exercise #goals #underarmour #quarantine #attitude #realestate #socialdistancing #lake… https://www.instagram.com/p/B_qhVYWDCSp/?igshid=fxq1daxzi786,05/01/2020,quarantine
"I can’t stay home during quarantine, I have to doordash",05/01/2020,quarantine
"peace out quarantine, stay gone forever plz;) Sincerely, Hay ",05/01/2020,quarantine
"I'm not coming out of quarantine until someone tells Whitney, How she will know. ",05/01/2020,quarantine
When this quarantine is OVER please can we get together for fun drinks great food and music. I already know we have lots to talk about. HAPPY FRIDAY. WE MADE IT.,05/01/2020,quarantine
"If there is one good thing that came out of quarantine, it’s that I like wine now",05/01/2020,quarantine
So did y’all forget how to drive while in quarantine?,05/01/2020,quarantine
Quarantine is setting in. I forgot how to get to Target (it’s 2 miles from my place) ,05/01/2020,quarantine
"The boy just summed up where we are. Boy: Did you know the government just confirmed the existence of UFOs, but no one noticed because of quarantine.",05/01/2020,quarantine
Quarantine is driving me crazy!! #neverfitin #qurantine #stayhomestaystrong #boredathome #helpme #thestruggleisreal #coronavirus #tiktok #jimcarrey #batmanforever,05/01/2020,quarantine
all I can say is quarantine would be way better with Vine. #bringbackvine,05/01/2020,quarantine
"Well, this is courtesy of MSNBC, not sure if you’ve heard of them or if you can read but it says “randomly tested”. Some folks, like yourself, will never get it. That’s ok though, just stay inside and quarantine, I’ll let you know when it’s safe to come out ",05/01/2020,quarantine
"I am not afraid to keep on living / I am not afraid to walk this world alone #fearless #dance #quarantine #mychemicalromance #dancersofinstagram @Saint Paul, Minnesota https://www.instagram.com/p/B_qe9gJAhjr/?igshid=pkf1t505yoeg",05/01/2020,quarantine
"No one is wearing masks here. Shops, gas stations. Heartbreaking that they are perpetuating the virus so the rest of us are in quarantine indefinitely!",05/01/2020,quarantine
Lol you tryna come out of this quarantine fine as wine sis! I see you !,05/01/2020,quarantine
"Look. I get that kare11 viewers generally live in places like Inver Grove Heights, love their guns, and may not agree with extended quarantine. I get that some powers at Kare might also lean that way as well. But, regardless, people will side with shirtless Sven on this one.",05/01/2020,quarantine
"It's not ""toes in the sand"" but I'll take it! Hope you enjoy your #weekend (if that's still a thing for you...) #quarantine #homeschooling #daddydaughtertime #reading @Omaha, Nebraska https://www.instagram.com/p/B_qeFBcH7y2wb4QiXVAoNBMI3ybwBpPzhh4HQE0/?igshid=1rjmvss3yqwmn",05/01/2020,quarantine
"@netflix killin’ it today! Night at the Roxbury, modern family, new girl, dead pool 2, bad boys, murder to mercy, to name a few! Quarantine just got a lot better! ",05/01/2020,quarantine
"Was reading @OffWht ARTWORK book during quarantine at home, and start pulling out my favorite @OffWht x @nike sneakers #virgilabloh #fashiondesigner #nike #snkrskickcheck #virgilablohartwork #offwhitemca #offwhite… https://www.instagram.com/p/B_qeEWpnWpf/?igshid=g0e0spiwu4t7",05/01/2020,quarantine
quarantine n chilling ,05/01/2020,quarantine
Quarantine really be messing with people ,05/01/2020,quarantine
I don’t feel the same anymore.. about a lot of things. This quarantine changed me and I don’t like it.,05/01/2020,quarantine
A L L W E H A V E I S N O W #quarantine #newjersey #holdontohope #godisincontrol #missingmyfamily #sunsetlover #bitebeauty @influenster #biteprimer #bitebeautyfoundation #shiny #healthyskin… https://www.instagram.com/p/B_qeAFDJuZB/?igshid=xzphkq917v2f,05/01/2020,quarantine
"New Track Colourredz - Foreign Prod. The Pyros Official Some music to rock to while on Quarantine. My Famliy from overseas, JA colourredzz definitely knows what it's like to live life… https://www.instagram.com/p/B_qd5xUlI1_N33JeV4RF4rVV-7MN5gDGf0yFTA0/?igshid=1xai2szmej9k2",05/01/2020,quarantine
" PSA : JUST IN!!!! GOV. INSLEE CONFIRMS @_starlily WILL BE IN QUARANTINE ON HER 40TH BIRTHDAY! My Birthday wish from each &amp; everyone one of you is to respect this order to keep us all safe! 60,000+ Americans was too many at 1! #ThankYouEssentialWorkers #thankyouforquarentining",05/01/2020,quarantine
"this is the best thing i’ve read all of quarantine!! congrats, my friend!",05/01/2020,quarantine
Did we almost call ? Yes. Is quarantine getting more entertaining? Also yes. Is this neighborhood cool cat safely back to the green grass it began its journey from? ...... TG yes. ,05/01/2020,quarantine
Quarantine I always liked. I found this movie tv app - crackle. Has a bunch of horror movies on there so I’m checking that out. Did you ever watch 30 days of night? Also check out Meeting Evil with Sam L Jackson,05/01/2020,quarantine
Take advantage of this quarantine ,05/01/2020,quarantine
Quarantine Art: 5 Famous Paintings That Came To Life ,05/01/2020,quarantine
Quarantine Life. ,05/01/2020,quarantine
Quarantine got everybody caught up went to the store &amp; there was no pregnancy test ,05/01/2020,quarantine
Tory Lanez is the quarantine MVP. Getting a IG Live session was already impressive. Working a crowd that ain’t nowhere near you is completely different.,05/01/2020,quarantine
"Quarantine Musicals and their Big Showstoppers! -Covita (""A New Disinfectant"") -Facemaskalot (""The Cough That Goes Like This"") -Sunday in the Park Six Feet From George (""Move On"")",05/01/2020,quarantine
These 3 have helped each other out with online learning while the adults have been adulting during #covid19 ; had to take them for a #quarantine safe outing! #bestdayever #safariinthemini #Fridayfunday @Alabama… https://www.instagram.com/p/B_qdtmuF68N/?igshid=1gmgdqq7se6ld,05/01/2020,quarantine
