Text,Date,search_term
Adult Immunization Schedule by Vaccine and Age Group | CDC https://www.cdc.gov/vaccines/schedules/hcp/imz/adult.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fvaccines%2Fschedules%2Fhcp%2Fadult.html via @CDCgov,06/01/2020,vaccine
Thank you President Trump Gates wants this to get his vaccine in place the mark of the beast,06/01/2020,vaccine
When cases spike they’re gonna make vaccines and treatments super expensive. So most minorities won’t have access to it ,06/01/2020,vaccine
"If this were a Hollywood movie, Dr. Fauci would announce Covid-19 vaccine, @realDonaldTrump would resign, and first zombie attack would take place inside Atlanta CDC laboratory just as another night of rioting began. Why am I actually concerned this could happen? #2020Sucks",06/01/2020,vaccine
My kids don’t get vaccines,06/01/2020,vaccine
"The thing that scares most everybody including me, is that a hurried vaccine could cause more harm than good. If you look at some of the stats, most ppl will hold off for a proven method of combatting this horrible disease. Instead of just jumping on the first one that comes out",06/01/2020,vaccine
I’ll bet you can’t wait to roll up your sleeves and get your vaccine partner huh?,06/01/2020,vaccine
https://www.law.com/newyorklawjournal/2020/05/28/state-bar-calls-for-mandatory-covid-19-vaccinations-regardless-of-objections/ #forcedvaccination #vaccines #COVID19,06/01/2020,vaccine
"Black Lives Matter. Be a vaccine against racism. 2020, THE YEAR WE SHOULD JUST SET THE WORLD ON FIRE ",06/01/2020,vaccine
"Dropped off my dog at the vet for her annual. And bc of COVID, I cant be with her while she gets her vaccines and and and ",06/01/2020,vaccine
Lmao the coronavirus vaccine is never coming,06/01/2020,vaccine
"It has, I asked my mom earlier today and she was like I hope the find a vaccine for racism. I knew she was a sheep but damnnnnn",06/01/2020,vaccine
"Without a super spreader event, or, a vaccine, we are looking at 150-175,000 deaths by election day.",06/01/2020,vaccine
"If violence is a symptom, and racism is the disease, then a good education is like the vaccine.",06/01/2020,vaccine
"So what's happened to the United States top Vaccine expert Dr. Rick Bright? Is he still banned from using his expertise during a Pandemic that's killed more than 105,000.00 people?!",06/01/2020,vaccine
What kind of president who put his nose in police and city mayor's affairs ?? Stay on coronavirus vaccines and remedies ,06/01/2020,vaccine
"Beaucoup de textes forts ce week-end. Celui-ci, de @rgay: “[Black people] will live with the knowledge that a hashtag is not a vaccine for white supremacy. We live with the knowledge that, still, no one is coming to save us” https://www.nytimes.com/2020/05/30/opinion/sunday/trump-george-floyd-coronavirus.html#click=https://t.co/1beVTRn6O9 #GeorgeFloyd #BlackLivesMatter",06/01/2020,vaccine
The world is broken. There is no vaccine for white supremacy. ,06/01/2020,vaccine
"You bet he was, he was willing to take under doctor care! This is big pharma trying to squash the use, for their Chinese cure or vaccine!",06/01/2020,vaccine
#BREAKING911 #BREAKINGNEWS #BREAKING #NEWS #URGENT #MANDATORY #VACCINES #VACCINE #BillGates #EUGENICS #WARagainstHUMANITY #CRIMESagainstHUMANITY #TREASON #DOMESTICTERRORISM :,06/01/2020,vaccine
"Oh and that just scratches the surface of @WHO withdrawal. Think about #IHR, PAHO, polio eradication, childhood vaccines and on and on... ",06/01/2020,vaccine
The way I see people partying and having bbqs makes me think that we found the vaccine for miss rona and its okay to be out without a mask,06/01/2020,vaccine
"Thread by @DonnaFsbos: President Donald Trump over the last week did the following, but you probably won't hear about it from the News. 1. Manes voluntary not mandatory. Military will check purity and distribute vaccines 2. Defunded WHO forever and wants… ",06/01/2020,vaccine
"I am living with a life-threatening case of Stage 4, Type II Stupidity. It's terminal and untreatable. Only once somebody invents a vaccine for Stupidity will my life be worth fighting for. Until then, I am and always will be Stupid.",06/01/2020,vaccine
Little faith in vaccine?,06/02/2020,vaccine
Bill Gates has been silent on “Black Lives Matter” @BillGates why aren’t you trying to save the world now? no vaccine solution?,06/02/2020,vaccine
"Covid vaccine/ large-scale production is big obstacle. Important is that vulnerable people vaccinated first. Generally those &gt;65 and &gt;45 w comorbidities. If you aren’t in that demographic and still hiding under bed, get used to it. Same for those irrationally scared for kids. ",06/02/2020,vaccine
"Thx yu Corporate evil Greed Promiting tge evil deadly virus makers! Satan Comm China/ Satans son Evil Bill Gates Bioweapin Genocide Lab Killers/ Love me I’m Great Satan Gates son if Satan ! Please take my Deadly Vaccine, it will change your DNA so you can become a creature for ",06/02/2020,vaccine
Yes until a vaccine a mask will always been worn in stores or on public transportation,06/02/2020,vaccine
They usually don’t receive high dose flu vaccine in Ontario.,06/02/2020,vaccine
"FUCK YOU TRUMP! YOU LIE SO MUCH NOBODY BELIEVES YOU!! NEXT YEAR WHEN THE VACCINES ARE READY, JOE WILL ANNOUNCE IT THE WAY A REAL PRESIDENT DOES! YOU ARE “BAD” HISTORY LOSER! @SenateGOP @SenateDems @PressSec @politico @thehill @fox32news @NBCNews @CREWcrew @senatemajldr @POTUS44",06/02/2020,vaccine
Fighting Stigma — Coronavirus Report: The Hill's Steve Clemons interviews Jennifer Nuzzo: But is stigma an issue? Are we having problems with getting the resources in the right place for vaccines? Do we need a Larry Kramer today? http://dlvr.it/RXsSHX,06/02/2020,vaccine
I know the timing is off with me saying this. But we are still in a pandemic. And the social distancing thing. So the 2nd wave is going to hit worldwide at the same time? Where the heck is that vaccine? Those scientist better speed that up quick!,06/02/2020,vaccine
 George Clooney: Racism Is Our Pandemic And In 400 Years We've Yet To Find A Vaccine #Topbuzz,06/02/2020,vaccine
Talking about something that we dont have ?!! Dr. Fauci says coronavirus vaccine may not provide immunity for very long ,06/02/2020,vaccine
That's a great excuse to help biotechs to produce different vaccines every single year from now on.,06/02/2020,vaccine
As I was trying to tell someone my phone number with a mask on I realized how hard it must be for those with hearing impairments that rely on lip reading. A vaccine cannot come soon enough. #COVID19,06/02/2020,vaccine
I hope that’s the vaccine for Racism,06/02/2020,vaccine
...you know they don’t do research on vaccines because they can’t be sued if they kill people. They don’t care!!,06/02/2020,vaccine
"Unless you have the vaccine! Which is clearly a sign, rock, or brick. Which isn’t terrible - I’m not a fan of needles.",06/02/2020,vaccine
Vaccine paradox: Will 'flattening the curve' stymie the chances of developing a #coronavirus vaccine quickly? - ABC News via @ABC - https://abcn.ws/3dtrqJ5 #COVID19,06/02/2020,vaccine
Ok. Well hopefully our immune systems are ready for this. Because there’s still no vaccine for at least the next 6 months,06/02/2020,vaccine
That's a grey area. I'd say late Phase 4 when we have adequate treatment and a vaccine on the horizon.,06/02/2020,vaccine
Piss on their vaccines !,06/02/2020,vaccine
"Per ABC poll: 40% of Republicans would NOT get a COVID-19 vaccine. Yup, of course. ",06/02/2020,vaccine
The protests will continue on till there’s justice is served and the virus will unfortunately go on till there’s a vaccine so in reality none of this going away soon until there’s a change that’s needed. Sports will bring back some normalcy tho that we’ve been sorely needing.,06/02/2020,vaccine
"That is a pretty low number considering their cultish tendencies. If he can't get over 50% of his own base, it looks like he's history. There are three things I am praying for (in my agnostic way): a vaccine for covid-19.;an end to Trump's regime,; good health to Justice Ruth.",06/02/2020,vaccine
Let the cities get the vaccines later thin the herd,06/02/2020,vaccine
I’m really HOPING and praying there will be at least some experimental vaccines available this winter.many are already on to large human trials fingers crossed ,06/02/2020,vaccine
