Text,Date,search_term
Then smart ass you figure out a vaccine,05/01/2020,vaccine
"It is sad that sports broadcasters, @espn, &amp; reporters who cover leagues &amp; teams are advocating that sports be played even though there is no vaccine for a virus that can kill the player. Players are a commodity as long we get our sport. #COVID19 #coronavirus",05/01/2020,vaccine
There is no vaccine for the common cold. What planet you on? I’m currently on earth... 3rd rock from the Sun.,05/01/2020,vaccine
"And Bill Gates financially backs the lab that created it, already has a patent on the vaccine?",05/01/2020,vaccine
"...or even a vaccine. What is not helpful is shouting at the sky, acting like we are a third world country (check out relative stats per million people of any other country vs the US), or militating to pick sides in a battle we are all on the same side of",05/01/2020,vaccine
"While Joe is doing this, Trump is pimping out a vaccine with FDA approval for Covid19.... lol #Landslide2020",05/01/2020,vaccine
"It then becomes big problem, as it will remain with us, will be treated as malaria while their is no vaccine, Ganduje should be more proactive &amp; allow the lockdown. Lockdown gives him time to understand the issues &amp; way to go ",05/01/2020,vaccine
"So, everyone stay inside until there is a vaccine? If 4 is 4 too many, that’s the only way to get to zero.",05/01/2020,vaccine
Ok where the vaccine.,05/01/2020,vaccine
"That’s why you try & isolate them. If we stay sheltered in place till we have a vaccine you will see a lot more damage to the population than what the virus is doing. Our population is too large for only 20% to be working. Not saying we have to have large concerts,sporting events",05/01/2020,vaccine
Too many 'shiny objects': Why it's risky to promise a coronavirus vaccine and cure https://www.latimes.com/california/story/2020-05-01/promises-covid-19-vaccine-therapeutics-cure @FehrLab @MichaelNADbio,05/01/2020,vaccine
Typical corp bs. Someone didn't read the tiny print or was up against the wall and had no real choice. These contracts will likely be canceled post vaccine date.,05/01/2020,vaccine
"So proud of my former @UPManila student, Dr Melvin Sanicas @Vaccinologist ! He’s one of the very few experts i go to for consults about #covid19 #infectiousdiseases #vaccines! Keep setting the global trend in beating #fakerynews tion.",05/01/2020,vaccine
Fauci wants a certificate of vaccination and Bill Gates wants a vaccine tracking system! Are you awake yet?!?!?!,05/01/2020,vaccine
They'll still force the vaccine on you don't get too excited,05/01/2020,vaccine
5g coronavirus nanobot vaccine antifa supersoldier Bill Gates NWO globalist China communism martial law 8========D~~~~~~,05/01/2020,vaccine
"It's ridiculous that @KellyannePolls said in the past that ""it's #COVIDー19, not #COVID-1"" as a way to shame scientists and researchers for not having a vaccine or effective treatment. Did she think the same thing about #Y2K? Granted, that hysteria was not called for, but still.",05/01/2020,vaccine
Whistleblower complaint set to lift lid on Trump pressure to push untried drug Dr Rick Bright says he was removed as head of office working on a Covid-19 vaccine for refusing to boost hydroxychloroquine #Biden2020,05/01/2020,vaccine
He died from COVID-19 as his grandson was participating in a trial to develop a vaccine https://bit.ly/2KOOvsW #ROC,05/01/2020,vaccine
"Vaccine which is at least six months away . So complete and absolutely exit in sight . Until then , follow the precautionary modified guidelines to the nth degree and be alert 24/7.",05/01/2020,vaccine
"You didn't answer the question are you in favor of mandating vaccines for those who do not want them and refuse them? My position is not so much anti-science, as you claim, it is pro individual rights.",05/01/2020,vaccine
I plan to wait to co-mingle until there’s a vaccine or a Truvada-like med which can interfere with transmission of the virus from cell to cell. The office is fine since our cubicals are more than 6’ apart and I am “essential.” ,05/01/2020,vaccine
"Adorable precious pets should be running the CDC Dodo Bird ( Fauci) talk is cheap, read the article I posted the pandemic won’t disappear even with a vaccine,? Sounds very wrong to me! ",05/01/2020,vaccine
Those who test positive for immunity- having had the virus and recovered- should be free to live their lives thereby setting up herd immunity- the virus would be destroyed and life would go on! This would give scientists time to develope a vaccine,05/01/2020,vaccine
The stay at home order until May 30th is going to kill more people because our immune systems are going to be so low from staying inside.. it’s science this is never going to go away until there’s a vaccine ! We are just puppets of the government ! @GovMikeDeWine WAKE UP PEOPLE,05/01/2020,vaccine
I agree but we need a vaccine ASAP. ,05/01/2020,vaccine
YEAH WHEN U CONSIDER THEYLL PUSH ANYTHING OUT TO STAY IN THIS GAME! NO VACCINE-- LETS USE THE MEDS - SUPPLEMENTS &amp; NATURE THT HAS BN WORKING -- VACCINES POISON THE SYSTEM! ,05/01/2020,vaccine
"3. Absent a vaccine, or enough PPE for anyone who needs it, the only way to fight the spread is social distancing + masks.",05/01/2020,vaccine
Those who have immunity would than be free to live their lives and through herd immunity destroy the virus so normal life could resume for those who don't have immunity- at least until there is a vaccine,05/01/2020,vaccine
"More like a January, 2021 return. Bookings for 2021 are up for cruise lines. Vaccine sounds like a true reality from p&amp;g in January. I feel like this is the vaccine that medical professionals and governments will trust",05/01/2020,vaccine
"Now the mediocre programmer is the world expert on virus. Hey Billy Boy, what if there is never a vaccine, like many other virus.",05/01/2020,vaccine
Don’t trust any vaccine period. Big pharma Bill Gates stuff in them to induce sterility autism paralysis that’s how hiv Ebola and other virus spread ,05/01/2020,vaccine
"If I truly want to come out of this better than I was at the beginning, then I’m going to have to find some understanding for those I’m watching & judging. I’m going to have to work on my patience so I can stand calmly in line—be it for toilet paper or (let’s hope) for a vaccine. ",05/01/2020,vaccine
"Because I completely disagree with how you’re interpreting his stance. In my mind you’re being absolutely ridiculous on the whole Bill Gates vaccine thing, but believe what you like. ¯\_(ツ)_/¯ Also climate change is real, but again we can differ on opinions like adults",05/01/2020,vaccine
Just like the other virus that they NEVER developed a vaccine for. Fauci left that part out.,05/01/2020,vaccine
"So I had blocked my ex’s number, his insta, Twitter..everything. Took special care to make sure I’d never hear from him again. tell me why he just sent me $1 on Venmo with the note reading “corona vaccine donation fund”",05/01/2020,vaccine
Need to find a vaccine to end this quarantine,05/01/2020,vaccine
"#neversaidbleach Medical “disinfectants” are compounds likr thirmerasol &amp; formaldehyde are, &amp; guess where they’re found? Vaccines - guess that’s ok though",05/01/2020,vaccine
Not only should we be cautious about this anti-viral drug but I am extremely concerned that @realDonaldTrump is claiming that he's in charge of the vaccine development process. Terrifying. He is desperate to get re-elected - will push these drug companies/agencies to cut corners. ,05/01/2020,vaccine
Have you seen the numbers on his so called “safe” vaccines. Why has Africa asked him and his foundation to not come back? You would think he was the savior but I don’t know what I’m talking about lol. I hope you are the first in line for that vaccine,05/01/2020,vaccine
So if I tomorrow decided to fund vaccines and want to vaccinate the world but also bring down its population by 10-15% do you think I shouldn’t be questioned? Asking for mma fans all around the world,05/01/2020,vaccine
Except for we have not adequately tested the population Dangerous to life with no vaccine available It's a corporate win ,05/01/2020,vaccine
how long do you expect us to be quarantining? this virus isn’t going anywhere soon and we aren’t getting anywhere close to a vaccine. so many people are going to die from poverty. we need to open back up and take the precautions,05/01/2020,vaccine
Aye yo that straight up THEFT the Cowboys pulled getting CeeDee Lamb has me still ALL THE WAY TURNT UP and they're sayin I still can't even get a haircut smh... Enough games let's get this vaccine jumpin so CeeDee can start his Big Boy job at JerryWorld.,05/01/2020,vaccine
"7 billion not getting that vaccine tho and they still gon have the election watch. HIV was way more aggressive than this man, they won’t get me, this is a phase I’m ready to pass, the virus is real but viruses can be gotten rid of. Part of priorities is they BEEN knew about it",05/01/2020,vaccine
@realDonaldTrump https://youtu.be/yQB3Eqt8_-Y Can we get the vaccine from Australia and name it here in the USA. Australia is going to start mass vaccine of Australia elderly and hospital workers in September 2020! Let's move forward together?,05/01/2020,vaccine
I will never take a vaccine you have anything to do with. And I certainly won’t depend on the WHO. I can keep myself safe as can other at risk persons. It’s time to reopen the country. Stop supporting China now. ,05/01/2020,vaccine
"HE IS A CRIMINAL ON CHEMICAL AND GREM WARFARE, VACCINES HAVE AND STILL DO KILL MILLIONS OF PEOPLE ESPECIALLY CHILDREN EVERY YEAR BUT HE AND OTHERS NEVER SPEAK OUT ON THAT DOCUMENTED FACT! (WHY?)",05/01/2020,vaccine
You people are so silly. We will be sure to leave you off the list of Chinese flu virus vaccines then.,05/01/2020,vaccine
I don’t understand why we are going there with this discussion? We should be joining energies to find treatment and vaccines.,05/01/2020,vaccine
Lol. Do your own on how Africa feels about him and his bs polio vaccine that sterilized and left many people sick for life. He is on record saying he wants to reduce the word population by 10-15%,05/01/2020,vaccine
"I mean they should have prioritize making a vaccine not making ppl stay in the crib if you ask me, we could all still be out if they locked in and came up with a solution, this is all a money play atp in my eyes ...someone is benefitting financially although we dunno who just yet",05/01/2020,vaccine
"Sooooo.... I’m probably late to the game on this, it just dawned on me that we can’t cross any border right now and the drug company trying to come up with a vaccine for COVID-19 is called Gilead? ",05/01/2020,vaccine
We do flu vaccine every year.,05/01/2020,vaccine
"Horrible decision....as a Regulatory professional, this should not be a strategy forward for this product with mixed results and not clear what the side effects would be....In quest for vaccine, US makes 'big bet' on company with unproven technology ",05/01/2020,vaccine
He should not be involved in the vaccine at all. He cannot tell the truth.,05/01/2020,vaccine
Vaccines kill or maim,05/01/2020,vaccine
"Too many 'shiny objects': Why it's risky to promise a coronavirus vaccine and cure, via @RVartabedian",05/01/2020,vaccine
"When are we going to test for the common flu that kills over 500,000 every single year, that we already have vaccines for? #FakeVirusCrisis #ReopenAmericaNow",05/01/2020,vaccine
"No matter if the lockout was extended another month or not, we would still be in the same situation. Until there is a vaccine that is offered to the public, there’s not much that can be done. Sitting at home for months upon months ain’t gonna do is any better.",05/01/2020,vaccine
"Chris, my agency had conducted extensive research with a national panel of avid sports fans and a 2/3 + majority are hesitant to return to sports events without a vaccine, greater testing capacity and clearances from medical leaders and/or local health officials.",05/01/2020,vaccine
"But I fear that this is going to put us in another recession or even worse a Great Depression when this is all over. That’s my only takeaway from being quarantine so long, they need to pump that vaccine out and get them test kits poppin we are USA ",05/01/2020,vaccine
Breaking News ... (Yesterday) Possible Covid vaccine by September. ,05/01/2020,vaccine
#vaccines ,05/01/2020,vaccine
The sooner the better. We need to find a vaccine against that ugly disease. ,05/01/2020,vaccine
Even if a vaccine was developed . They have to test it for a full year until it is proven effective and safe to administer. Trump can’t understand that with his stable genius mind.,05/01/2020,vaccine
Now demanding vaccine records from the cat and Sam before we move in,05/01/2020,vaccine
"We know viruses can mutate like all cells, but viruses are not cells but a bag of genetic material. Your article just proves one important thing. A vaccine will NEVER be able to target millions of mutating viruses.",05/01/2020,vaccine
"Doctors ( experts) said 250,000 to 500,000. 60,000 seem like success. The flu is 68,000 and no one stays home and half the people in this country done get a vaccine. Don’t be stupid, Stupid!",05/01/2020,vaccine
I didn’t know Michigan had white trash! Now that is a pandemic which needs a vaccine! #MichiganTerrorists,05/01/2020,vaccine
Viral vaccines DONT WORK!! Viruses mutate @Vaccines are contaminated with retroviruses and toxins that cause more injury to immunity than help. Toxins will not solve the problems that toxins in food caused. #and you are behind both.,05/01/2020,vaccine
Who needs a vaccine when you have 17 Yuenglings? #science,05/01/2020,vaccine
