Date,search_term,Sentiment_Pred_x,TweetCleaned,Sentiment_Pred_y,Sentiment_Score
03/01/2020,covid,148,269,269,0.550185873605948
03/01/2020,covid-19,268,500,500,0.536
03/01/2020,lockdown,25,31,31,0.8064516129032258
03/01/2020,lysol,12,14,14,0.8571428571428571
03/01/2020,pandemic,138,250,250,0.552
03/01/2020,quarantine,78,157,157,0.4968152866242038
03/01/2020,vaccine,18,21,21,0.8571428571428571
03/02/2020,covid,258,500,500,0.516
03/02/2020,covid-19,281,500,500,0.562
03/02/2020,lockdown,35,51,51,0.6862745098039216
03/02/2020,lysol,91,108,108,0.8425925925925926
03/02/2020,pandemic,261,460,460,0.5673913043478261
03/02/2020,quarantine,125,239,239,0.5230125523012552
03/02/2020,vaccine,244,314,314,0.7770700636942676
03/03/2020,covid,258,499,499,0.5170340681362725
03/03/2020,covid-19,249,499,499,0.49899799599198397
03/03/2020,lockdown,47,55,55,0.8545454545454545
03/03/2020,lysol,131,158,158,0.8291139240506329
03/03/2020,pandemic,241,428,428,0.5630841121495327
03/03/2020,quarantine,149,251,251,0.5936254980079682
03/03/2020,vaccine,356,500,500,0.712
03/04/2020,covid,254,500,500,0.508
03/04/2020,covid-19,274,500,500,0.548
03/04/2020,lockdown,42,57,57,0.7368421052631579
03/04/2020,lysol,92,128,128,0.71875
03/04/2020,pandemic,185,334,334,0.5538922155688623
03/04/2020,quarantine,119,199,199,0.5979899497487438
03/04/2020,vaccine,290,404,404,0.7178217821782178
03/05/2020,covid,245,500,500,0.49
03/05/2020,covid-19,250,500,500,0.5
03/05/2020,lockdown,29,42,42,0.6904761904761905
03/05/2020,lysol,127,161,161,0.7888198757763976
03/05/2020,pandemic,228,399,399,0.5714285714285714
03/05/2020,quarantine,170,314,314,0.5414012738853503
03/05/2020,vaccine,298,384,384,0.7760416666666666
03/06/2020,covid,239,500,500,0.478
03/06/2020,covid-19,259,500,500,0.518
03/06/2020,lockdown,37,54,54,0.6851851851851852
03/06/2020,lysol,114,135,135,0.8444444444444444
03/06/2020,pandemic,319,500,500,0.638
03/06/2020,quarantine,191,388,388,0.49226804123711343
03/06/2020,vaccine,264,354,354,0.7457627118644068
03/07/2020,covid,260,499,499,0.5210420841683366
03/07/2020,covid-19,274,500,500,0.548
03/07/2020,lockdown,42,60,60,0.7
03/07/2020,lysol,114,139,139,0.8201438848920863
03/07/2020,pandemic,291,500,500,0.582
03/07/2020,quarantine,236,475,475,0.4968421052631579
